FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;0,311059;;;
150102;0000;0,313554;;;
150103;0000;0,453158;;;
150104;0000;0,382449;;;
150105;0000;0,33844;;;
150106;0000;0,350349;;;
150107;0000;0,370721;;;
150108;0000;0,353094;;;
150109;0000;0,438164;;;
150110;0000;0,388029;;;
150111;0000;0,426072;;;
150112;0000;0,460123;;;
150113;0000;0,427842;;;
150114;0000;;;;
150115;0000;;;;
150116;0000;0,437301;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;0,3456;;;
150204;0000;0,304707;;;
150205;0000;0,315914;;;
150206;0000;0,363688;;;
150207;0000;0,344769;;;
150208;0000;0,263579;;;
150209;0000;0,303437;;;
150210;0000;0,403297;;;
150211;0000;0,428954;;;
150212;0000;0,433877;;;
150213;0000;0,470023;;;
150214;0000;0,510598;;;
150215;0000;0,399464;;;
150216;0000;0,439003;;;
150217;0000;0,390752;;;
150218;0000;0,316572;;;
150219;0000;0,426391;;;
150220;0000;0,559099;;;
150221;0000;0,366525;;;
150222;0000;0,387032;;;
150223;0000;0,332973;;;
150224;0000;0,361761;;;
150225;0000;0,396514;;;
150226;0000;0,315006;;;
150227;0000;0,372513;;;
150228;0000;0,293614;;;
150301;0000;0,360943;;;
150302;0000;0,319158;;;
150303;0000;0,366774;;;
150304;0000;0,371152;;;
150305;0000;0,349511;;;
150306;0000;0,39994;;;
150307;0000;0,415501;;;
150308;0000;0,428749;;;
150309;0000;0,515768;;;
150310;0000;0,525116;;;
150311;0000;0,677741;;;
150312;0000;0,583394;;;
150313;0000;0,533147;;;
150314;0000;0,526454;;;
150315;0000;0,513002;;;
150316;0000;0,486347;;;
150317;0000;0,53571;;;
150318;0000;0,496782;;;
150319;0000;0,337918;;;
150320;0000;0,609142;;;
150321;0000;0,734001;;;
150322;0000;0,390638;;;
150323;0000;0,456879;;;
150324;0000;0,523642;;;
150325;0000;0,749745;;;
150326;0000;0,675295;;;
150327;0000;0,666247;;;
150328;0000;0,575893;;;
150329;0000;0,411372;;;
150330;0000;0,352913;;;
150331;0000;0,708298;;;
150401;0000;0,669399;;;
150402;0000;0,578563;;;
150403;0000;0,412507;;;
150404;0000;0,377436;;;
150405;0000;0,491992;;;
150406;0000;0,421399;;;
150407;0000;0,430496;;;
150408;0000;0,635414;;;
150409;0000;0,725131;;;
150410;0000;1,0143;;;
150411;0000;0,925753;;;
