FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;5,9546;;;
150102;0000;10,5406;;;
150103;0000;11,6892;;;
150104;0000;8,44757;;;
150105;0000;8,85443;;;
150106;0000;10,8165;;;
150107;0000;8,50887;;;
150108;0000;13,7723;;;
150109;0000;16,3514;;;
150110;0000;10,5043;;;
150111;0000;10,1282;;;
150112;0000;10,6839;;;
150113;0000;12,7282;;;
150114;0000;;;15,2153;
150115;0000;;;14,0833;
150116;0000;11,9546;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;9,86194;;;
150204;0000;10,2079;;;
150205;0000;9,41859;;;
150206;0000;11,5819;;;
150207;0000;9,82645;;;
150208;0000;6,13402;;;
150209;0000;11,3296;;;
150210;0000;13,4574;;;
150211;0000;14,6834;;;
150212;0000;16,0208;;;
150213;0000;16,7414;;;
150214;0000;12,5205;;;
150215;0000;8,51646;;;
150216;0000;11,855;;;
150217;0000;10,7581;;;
150218;0000;10,0559;;;
150219;0000;9,66376;;;
150220;0000;15,7652;;;
150221;0000;8,17007;;;
150222;0000;8,0975;;;
150223;0000;9,78647;;;
150224;0000;7,5032;;;
150225;0000;9,24237;;;
150226;0000;7,2625;;;
150227;0000;8,01181;;;
150228;0000;6,23333;;;
150301;0000;7,07451;;;
150302;0000;7,89743;;;
150303;0000;9,70737;;;
150304;0000;9,80251;;;
150305;0000;13,3978;;;
150306;0000;13,8977;;;
150307;0000;10,5119;;;
150308;0000;9,77367;;;
150309;0000;16,1764;;;
150310;0000;18,8505;;;
150311;0000;21,1793;;;
150312;0000;16,2405;;;
150313;0000;18,1785;;;
150314;0000;16,6449;;;
150315;0000;16,3049;;;
150316;0000;18,73;;;
150317;0000;19,5478;;;
150318;0000;19,6137;;;
150319;0000;16,4019;;;
150320;0000;22,3559;;;
150321;0000;19,7836;;;
150322;0000;9,08333;;;
150323;0000;11,0162;;;
150324;0000;13,5591;;;
150325;0000;21,6338;;;
150326;0000;21,3278;;;
150327;0000;23,3579;;;
150328;0000;23,9686;;;
150329;0000;15,0672;;;
150330;0000;14,7774;;;
150331;0000;30,1495;;;
150401;0000;33,4485;;;
150402;0000;31,5853;;;
150403;0000;17,1378;;;
150404;0000;15,3833;;;
150405;0000;20,1447;;;
150406;0000;18,6488;;;
150407;0000;16,5063;;;
150408;0000;24,7494;;;
150409;0000;27,8146;;;
150410;0000;40,5542;;;
150411;0000;30,2482;;;
150412;0000;20,735;;;
150413;0000;19,1707;;;
150414;0000;19,5567;;;
150415;0000;17,9451;;;
150416;0000;14,7068;;;
150417;0000;30,1154;;;
150418;0000;27,1909;;;
150419;0000;16,8683;;;
150420;0000;32,0236;;;
150421;0000;26,4415;;;
150422;0000;33,5496;;;
150423;0000;37,1421;;;
150424;0000;41,1156;;;
150425;0000;30,1542;;;
150426;0000;22,5716;;;
150427;0000;32,3601;;;
150428;0000;33,7252;;;
150429;0000;40,6479;;;
150430;0000;35,4306;;;
150501;0000;24,4159;;;
150502;0000;11,7151;;;
150503;0000;16,4907;;;
150504;0000;29,3279;;;
150505;0000;34,9764;;;
150506;0000;42,0216;;;
150507;0000;39,1709;;;
150508;0000;28,1684;;;
150509;0000;28,1587;;;
150510;0000;31,6203;;;
150511;0000;39,4969;;;
150512;0000;38,6965;;;
150513;0000;45,9014;;;
150514;0000;30,0174;;;
150515;0000;34,2122;;;
150516;0000;38,2808;;;
150517;0000;28,4721;;;
150518;0000;46,3902;;;
150519;0000;44,7386;;;
150520;0000;23,2231;;;
150521;0000;31,2334;;;
150522;0000;30,205;;;
150523;0000;29,5731;;;
150524;0000;34,4121;;;
150525;0000;46,8039;;;
150526;0000;44,0603;;;
150527;0000;55,8317;;;
150528;0000;56,4024;;;
150529;0000;36,2955;;;
150530;0000;30,5647;;;
150531;0000;31,4288;;;
150601;0000;55,0178;;;
150602;0000;52,8601;;;
150603;0000;46,3776;;;
150604;0000;;;80,2059;
150605;0000;;;60,6099;
150606;0000;31,1475;;;
150607;0000;23,4721;;;
150608;0000;30,6687;;;
150609;0000;35,0146;;;
150610;0000;23,9443;;;
150611;0000;39,9262;;;
150612;0000;41,4816;;;
150613;0000;29,7494;;;
150614;0000;37,1006;;;
150615;0000;50,5515;;;
150616;0000;49,9247;;;
150617;0000;45,898;;;
150618;0000;;;93,4849;
150619;0000;;;83,8032;
150620;0000;64,9344;;;
150621;0000;72,5695;;;
150622;0000;76,4464;;;
150623;0000;47,6784;;;
150624;0000;34,8147;;;
150625;0000;43,5276;;;
150626;0000;;;72,6261;
150627;0000;66,4594;;;
150628;0000;51,0738;;;
150629;0000;46,7105;;;
150630;0000;64,9178;;;
150701;0000;;;75,3749;
150702;0000;55,0891;;;
150703;0000;46,1225;;;
150704;0000;49,2542;;;
150705;0000;41,5384;;;
150706;0000;39,4596;;;
150707;0000;39,8131;;;
150708;0000;54,1253;;;
150709;0000;48,4858;;;
150710;0000;37,4051;;;
150711;0000;44,1583;;;
150712;0000;13,9638;;;
150713;0000;21,1073;;;
150714;0000;34,1867;;;
150715;0000;38,8513;;;
150716;0000;34,261;;;
150717;0000;37,4422;;;
150718;0000;30,1128;;;
150719;0000;20,5442;;;
150720;0000;31,6405;;;
150721;0000;53,9013;;;
150722;0000;;;57,2465;
150723;0000;;;60,2858;
150724;0000;;;59,4305;
150725;0000;56,4109;;;
150726;0000;31,8056;;;
150727;0000;22,9659;;;
150728;0000;29,3016;;;
150729;0000;33,4762;;;
150730;0000;27,8309;;;
150731;0000;24,5222;;;
150801;0000;35,1666;;;
150802;0000;21,9344;;;
150803;0000;;;20,3993;
150804;0000;;;26,1192;
150805;0000;;;16,7893;
150806;0000;;;8,09837;
150807;0000;;;8,88356;
150808;0000;;;10,434;
150809;0000;;;8,22684;
150810;0000;;;9,40277;
150811;0000;;;9,91226;
150812;0000;;;11,2836;
150813;0000;;;12,309;
150814;0000;;;11,0532;
150815;0000;;;10,8032;
150816;0000;;;10,2708;
150817;0000;;;11,1736;
150818;0000;;;16,5509;
150819;0000;;;20,7095;
150820;0000;22,2905;;;
150821;0000;13,3174;;;
150822;0000;15,8948;;;
150823;0000;22,6162;;;
150824;0000;26,4046;;;
150825;0000;16,0132;;;
150826;0000;21,7234;;;
150827;0000;32,8688;;;
150828;0000;36,5686;;;
150829;0000;35,3581;;;
150830;0000;26,6563;;;
150831;0000;26,6957;;;
150901;0000;27,8338;;;
150902;0000;29,2528;;;
150903;0000;34,2179;;;
150904;0000;35,2097;;;
150905;0000;27,5012;;;
150906;0000;10,0219;;;
150907;0000;18,5102;;;
150908;0000;22,2294;;;
150909;0000;20,5102;;;
150910;0000;23,3922;;;
150911;0000;26,5864;;;
150912;0000;29,299;;;
150913;0000;30,4381;;;
150914;0000;33,6819;;;
150915;0000;23,7989;;;
150916;0000;20,835;;;
150917;0000;11,8946;;;
150918;0000;14,9581;;;
150919;0000;21,5304;;;
150920;0000;17,4914;;;
150921;0000;11,9974;;;
150922;0000;14,1389;;;
150923;0000;14,9684;;;
150924;0000;20,0172;;;
150925;0000;23,989;;;
150926;0000;21,9839;;;
150927;0000;24,3511;;;
150928;0000;20,0848;;;
150929;0000;21,6815;;;
150930;0000;16,7232;;;
151001;0000;12,0416;;;
151002;0000;17,0239;;;
151003;0000;16,9327;;;
151004;0000;10,0328;;;
151005;0000;14,7186;;;
151006;0000;12,6661;;;
151007;0000;10,5205;;;
151008;0000;18,0326;;;
151009;0000;16,7996;;;
151010;0000;19,592;;;
151011;0000;17,0145;;;
151012;0000;18,193;;;
151013;0000;17,9576;;;
151014;0000;11,5739;;;
151015;0000;14,0382;;;
151016;0000;20,8526;;;
151017;0000;21,3592;;;
151018;0000;18,9232;;;
151019;0000;15,3361;;;
151020;0000;15,3661;;;
151021;0000;12,5285;;;
151022;0000;17,3374;;;
151023;0000;20,3093;;;
151024;0000;11,7835;;;
151025;0000;9,5748;;;
151026;0000;11,4191;;;
151027;0000;13,1081;;;
151028;0000;10,033;;;
151029;0000;9,36467;;;
151030;0000;11,2051;;;
151031;0000;11,2342;;;
151101;0000;8,42712;;;
151102;0000;9,96796;;;
151103;0000;10,0926;;;
151104;0000;11,0965;;;
151105;0000;13,3153;;;
151106;0000;10,5177;;;
151107;0000;8,67421;;;
151108;0000;7,8263;;;
151109;0000;6,57261;;;
151110;0000;8,36101;;;
151111;0000;6,89323;;;
151112;0000;13,2465;;;
151113;0000;23,0185;;;
151114;0000;17,2834;;;
151115;0000;8,98764;;;
151116;0000;8,66243;;;
151117;0000;7,82273;;;
151118;0000;7,90368;;;
151119;0000;9,6216;;;
151120;0000;16,5474;;;
151121;0000;11,1218;;;
151122;0000;9,03983;;;
151123;0000;8,84221;;;
151124;0000;7,52787;;;
151125;0000;7,45072;;;
151126;0000;7,1794;;;
151127;0000;10,2885;;;
151128;0000;11,2701;;;
151129;0000;11,8253;;;
151130;0000;10,9102;;;
151201;0000;10,9761;;;
151202;0000;7,71031;;;
151203;0000;14,9619;;;
151204;0000;18,0665;;;
151205;0000;11,552;;;
151206;0000;9,94505;;;
151207;0000;9,86397;;;
151208;0000;6,44826;;;
151209;0000;10,6645;;;
151210;0000;13,2398;;;
151211;0000;13,5896;;;
151212;0000;10,0985;;;
151213;0000;4,91213;;;
151214;0000;9,59248;;;
151215;0000;;;13,0914;
151216;0000;;;10,3542;
151217;0000;;;9,96628;
151218;0000;;;14,0845;
151219;0000;;;12,0745;
151220;0000;5,718;;;
151221;0000;7,4193;;;
151222;0000;9,81345;;;
151223;0000;10,6265;;;
151224;0000;15,5562;;;
151225;0000;;;7,73075;
151226;0000;;;;
151227;0000;;;;
151228;0000;;;;
151229;0000;;;;
151230;0000;;;;
151231;0000;;;;
160101;0000;;;;
160102;0000;;;;
