FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;3,01365;;;
150102;0000;4,77319;;;
150103;0000;5,52844;;;
150104;0000;1,76569;;;
150105;0000;4,07631;;;
150106;0000;4,2534;;;
150107;0000;2,315;;;
150108;0000;2,66393;;;
150109;0000;9,06506;;;
150110;0000;2,56937;;;
150111;0000;2,20597;;;
150112;0000;5,31013;;;
150113;0000;5,24263;;;
150114;0000;;;;
150115;0000;;;;
150116;0000;3,94597;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;3,38437;;;
150204;0000;3,99227;;;
150205;0000;3,61639;;;
150206;0000;6,6936;;;
150207;0000;4,26868;;;
150208;0000;1,76104;;;
150209;0000;3,5718;;;
150210;0000;6,43662;;;
150211;0000;12,5678;;;
150212;0000;6,88486;;;
150213;0000;14,2959;;;
150214;0000;6,6734;;;
150215;0000;1,62146;;;
150216;0000;3,28021;;;
150217;0000;4,63161;;;
150218;0000;2,79847;;;
150219;0000;2,30521;;;
150220;0000;4,93751;;;
150221;0000;1,71639;;;
150222;0000;1,67562;;;
150223;0000;3,60271;;;
150224;0000;2,16014;;;
150225;0000;2,14222;;;
150226;0000;2,53188;;;
150227;0000;2,64319;;;
150228;0000;1,84333;;;
150301;0000;1,6609;;;
150302;0000;2,42111;;;
150303;0000;4,32286;;;
150304;0000;2,90667;;;
150305;0000;4,05015;;;
150306;0000;4,90668;;;
150307;0000;3,3518;;;
150308;0000;3,48444;;;
150309;0000;21,3243;;;
150310;0000;9,25777;;;
150311;0000;24,4815;;;
150312;0000;9,96236;;;
150313;0000;5,68333;;;
150314;0000;5,72944;;;
150315;0000;2,86777;;;
150316;0000;7,16472;;;
150317;0000;9,25111;;;
150318;0000;21,3331;;;
150319;0000;3,30916;;;
150320;0000;20,9425;;;
150321;0000;36,6297;;;
150322;0000;3,67187;;;
150323;0000;5,34791;;;
150324;0000;13,5504;;;
150325;0000;49,5428;;;
150326;0000;26,2671;;;
150327;0000;66,7637;;;
150328;0000;33,0505;;;
150329;0000;5,51852;;;
150330;0000;5,60333;;;
150331;0000;40,5198;;;
150401;0000;64,9661;;;
150402;0000;42,4404;;;
150403;0000;9,64859;;;
150404;0000;6,58348;;;
150405;0000;28,6022;;;
150406;0000;23,55;;;
150407;0000;6,88204;;;
150408;0000;36,2345;;;
150409;0000;45,8867;;;
150410;0000;89,8333;;;
150411;0000;84,3085;;;
150412;0000;6,98516;;;
150413;0000;10,4669;;;
150414;0000;15,2122;;;
150415;0000;11,1601;;;
150416;0000;8,16084;;;
150417;0000;86,2738;;;
150418;0000;116,713;;;
150419;0000;8,39896;;;
150420;0000;87,8312;;;
150421;0000;91,7992;;;
150422;0000;88,9883;;;
150423;0000;100,289;;;
150424;0000;77,5844;;;
150425;0000;63,663;;;
150426;0000;12,9514;;;
150427;0000;41,9243;;;
150428;0000;71,7386;;;
150429;0000;108,414;;;
150430;0000;105,9;;;
150501;0000;28,4055;;;
150502;0000;6,52235;;;
150503;0000;28,0862;;;
150504;0000;72,7257;;;
150505;0000;120,553;;;
150506;0000;159,388;;;
150507;0000;127,194;;;
150508;0000;77,4553;;;
150509;0000;109,368;;;
150510;0000;122,023;;;
150511;0000;114,087;;;
150512;0000;117,82;;;
150513;0000;153,685;;;
150514;0000;95,8969;;;
150515;0000;98,5122;;;
150516;0000;112,038;;;
150517;0000;105,488;;;
150518;0000;162,131;;;
150519;0000;127,675;;;
150520;0000;14,6682;;;
150521;0000;47,5606;;;
150522;0000;113,638;;;
150523;0000;65,7383;;;
150524;0000;127,478;;;
150525;0000;160,542;;;
150526;0000;95,6462;;;
150527;0000;151,66;;;
150528;0000;103,031;;;
150529;0000;60,0437;;;
150530;0000;123,366;;;
150531;0000;88,4531;;;
150601;0000;183,13;;;
150602;0000;146,805;;;
150603;0000;116,397;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;80,9417;;;
150607;0000;49,4099;;;
150608;0000;58,5606;;;
150609;0000;75,2343;;;
150610;0000;39,5709;;;
150611;0000;120,388;;;
150612;0000;138,552;;;
150613;0000;56,1072;;;
150614;0000;133,775;;;
150615;0000;197,267;;;
150616;0000;168,501;;;
150617;0000;126,249;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;201,549;;;
150621;0000;248,696;;;
150622;0000;224,367;;;
150623;0000;123,598;;;
150624;0000;75,3903;;;
150625;0000;164,887;;;
150626;0000;;;;
150627;0000;180,778;;;
150628;0000;167,747;;;
150629;0000;122,772;;;
150630;0000;163,892;;;
150701;0000;;;;
150702;0000;162,098;;;
150703;0000;126,876;;;
150704;0000;163,627;;;
150705;0000;85,4199;;;
150706;0000;139,046;;;
150707;0000;136,819;;;
150708;0000;190,399;;;
150709;0000;104,212;;;
150710;0000;108,413;;;
150711;0000;145,815;;;
150712;0000;6,01547;;;
150713;0000;19,8488;;;
150714;0000;108,066;;;
150715;0000;209,782;;;
150716;0000;156,098;;;
150717;0000;173,338;;;
150718;0000;115,786;;;
150719;0000;30,6421;;;
150720;0000;137,774;;;
150721;0000;261,458;;;
150722;0000;;;;
150723;0000;;;;
150724;0000;;;;
150725;0000;188,042;;;
150726;0000;67,4738;;;
150727;0000;50,166;;;
150728;0000;110,223;;;
150729;0000;137,832;;;
150730;0000;140,104;;;
150731;0000;78,3739;;;
150801;0000;157,161;;;
150802;0000;45,5932;;;
150803;0000;;;125,655;
150804;0000;;;116,946;
150805;0000;;;22,3142;
150806;0000;;;15,713;
150807;0000;;;87,5077;
150808;0000;;;28,5175;
150809;0000;;;10,739;
150810;0000;;;19,3766;
150811;0000;;;35,2706;
150812;0000;;;56,9156;
150813;0000;;;78,0526;
150814;0000;;;95,2826;
150815;0000;;;38,1768;
150816;0000;;;22,4394;
150817;0000;;;17,8493;
150818;0000;;;66,2234;
150819;0000;;;121,626;
150820;0000;51,7595;;;
150821;0000;5,21651;;;
150822;0000;25,2784;;;
150823;0000;26,0079;;;
150824;0000;84,9252;;;
150825;0000;6,96877;;;
150826;0000;51,1785;;;
150827;0000;110,156;;;
150828;0000;98,707;;;
150829;0000;122,115;;;
150830;0000;111,625;;;
150831;0000;60,3837;;;
150901;0000;71,2775;;;
150902;0000;62,1648;;;
150903;0000;95,2854;;;
150904;0000;81,1448;;;
150905;0000;46,8491;;;
150906;0000;2,14874;;;
150907;0000;14,6359;;;
150908;0000;40,4983;;;
150909;0000;27,8858;;;
150910;0000;29,3281;;;
150911;0000;35,7528;;;
150912;0000;52,3229;;;
150913;0000;68,7611;;;
150914;0000;47,2675;;;
150915;0000;18,344;;;
150916;0000;25,3444;;;
150917;0000;3,84307;;;
150918;0000;12,7687;;;
150919;0000;38,4084;;;
150920;0000;16,6202;;;
150921;0000;2,68696;;;
150922;0000;5,3739;;;
150923;0000;14,8848;;;
150924;0000;25,0429;;;
150925;0000;55,4336;;;
150926;0000;38,8753;;;
150927;0000;19,0383;;;
150928;0000;19,2196;;;
150929;0000;34,1387;;;
150930;0000;26,2303;;;
151001;0000;5,44087;;;
151002;0000;17,6615;;;
151003;0000;18,7317;;;
151004;0000;2,36796;;;
151005;0000;7,47332;;;
151006;0000;4,41634;;;
151007;0000;5,0842;;;
151008;0000;25,6262;;;
151009;0000;17,8555;;;
151010;0000;36,2559;;;
151011;0000;29,7361;;;
151012;0000;8,44815;;;
151013;0000;17,3265;;;
151014;0000;2,72146;;;
151015;0000;9,69266;;;
151016;0000;32,6823;;;
151017;0000;78,8031;;;
151018;0000;66,475;;;
151019;0000;14,2153;;;
151020;0000;18,9328;;;
151021;0000;7,31276;;;
151022;0000;19,3724;;;
151023;0000;16,6213;;;
151024;0000;5,03759;;;
151025;0000;6,64172;;;
151026;0000;8,68925;;;
151027;0000;12,2414;;;
151028;0000;3,43783;;;
151029;0000;2,29032;;;
151030;0000;3,85739;;;
151031;0000;2,98302;;;
151101;0000;1,6461;;;
151102;0000;2,23163;;;
151103;0000;3,98703;;;
151104;0000;3,36122;;;
151105;0000;9,36339;;;
151106;0000;4,29961;;;
151107;0000;3,13224;;;
151108;0000;1,46069;;;
151109;0000;2,35941;;;
151110;0000;3,82353;;;
151111;0000;2,02376;;;
151112;0000;6,00325;;;
151113;0000;25,2421;;;
151114;0000;8,63617;;;
151115;0000;2,44997;;;
151116;0000;4,02971;;;
151117;0000;4,32828;;;
151118;0000;3,92821;;;
151119;0000;3,23154;;;
151120;0000;8,01015;;;
151121;0000;3,39491;;;
151122;0000;1,94916;;;
151123;0000;5,02583;;;
151124;0000;4,51445;;;
151125;0000;4,9512;;;
151126;0000;4,85986;;;
151127;0000;6,38572;;;
151128;0000;2,89969;;;
151129;0000;7,33518;;;
151130;0000;6,46824;;;
151201;0000;3,63772;;;
151202;0000;3,21508;;;
151203;0000;8,33183;;;
151204;0000;14,9478;;;
151205;0000;3,33933;;;
151206;0000;2,57134;;;
151207;0000;4,72442;;;
151208;0000;1,97039;;;
151209;0000;4,37479;;;
151210;0000;5,8603;;;
151211;0000;6,24586;;;
151212;0000;2,71619;;;
151213;0000;1,26148;;;
151214;0000;4,54727;;;
151215;0000;;;;
