FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;8,74979;;;
150102;0000;15,2844;;;
150103;0000;17,1725;;;
150104;0000;10,124;;;
150105;0000;12,92;;;
150106;0000;15,0622;;;
150107;0000;10,7908;;;
150108;0000;16,4255;;;
150109;0000;25,4119;;;
150110;0000;13,0366;;;
150111;0000;12,235;;;
150112;0000;15,9864;;;
150113;0000;17,9536;;;
150114;0000;;;;
150115;0000;;;;
150116;0000;15,899;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;13,2463;;;
150204;0000;14,2002;;;
150205;0000;13,035;;;
150206;0000;18,2755;;;
150207;0000;14,0951;;;
150208;0000;7,88895;;;
150209;0000;14,9014;;;
150210;0000;19,894;;;
150211;0000;27,2512;;;
150212;0000;22,9056;;;
150213;0000;31,0372;;;
150214;0000;19,1939;;;
150215;0000;10,1379;;;
150216;0000;15,1352;;;
150217;0000;15,3866;;;
150218;0000;12,8544;;;
150219;0000;11,9689;;;
150220;0000;20,7027;;;
150221;0000;9,88646;;;
150222;0000;9,77313;;;
150223;0000;13,3892;;;
150224;0000;9,66335;;;
150225;0000;11,3846;;;
150226;0000;9,79439;;;
150227;0000;10,655;;;
150228;0000;8,07668;;;
150301;0000;8,73543;;;
150302;0000;10,3185;;;
150303;0000;14,0302;;;
150304;0000;12,7091;;;
150305;0000;17,4479;;;
150306;0000;18,8044;;;
150307;0000;13,8638;;;
150308;0000;13,2581;;;
150309;0000;37,5008;;;
150310;0000;28,1083;;;
150311;0000;45,6608;;;
150312;0000;26,2029;;;
150313;0000;23,8618;;;
150314;0000;22,3744;;;
150315;0000;19,1727;;;
150316;0000;25,8948;;;
150317;0000;28,7989;;;
150318;0000;40,9468;;;
150319;0000;19,711;;;
150320;0000;43,2985;;;
150321;0000;56,4133;;;
150322;0000;12,7552;;;
150323;0000;16,3642;;;
150324;0000;27,1095;;;
150325;0000;71,1766;;;
150326;0000;47,5949;;;
150327;0000;90,1216;;;
150328;0000;57,0191;;;
150329;0000;20,5858;;;
150330;0000;20,3807;;;
150331;0000;70,6693;;;
150401;0000;98,4146;;;
150402;0000;74,0258;;;
150403;0000;26,7864;;;
150404;0000;21,9668;;;
150405;0000;48,747;;;
