FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;19,7559;;;
150102;0000;24,4797;;;
150103;0000;25,1539;;;
150104;0000;29,8737;;;
150105;0000;23,4711;;;
150106;0000;22,5326;;;
150107;0000;22,2344;;;
150108;0000;25,5505;;;
150109;0000;32,3793;;;
150110;0000;26,8339;;;
150111;0000;29,9477;;;
150112;0000;26,9889;;;
150113;0000;27,5554;;;
150114;0000;;;;
150115;0000;;;;
150116;0000;28,5105;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;24,2885;;;
150204;0000;25,2325;;;
150205;0000;23,6681;;;
150206;0000;23,3431;;;
150207;0000;19,4281;;;
150208;0000;14,588;;;
150209;0000;18,2637;;;
150210;0000;22,2085;;;
150211;0000;23,2215;;;
150212;0000;;;;
150213;0000;;;;
150214;0000;;;;
150215;0000;;;;
150216;0000;;;;
150217;0000;;;;
150218;0000;;;;
150219;0000;;;;
150220;0000;;;;
150221;0000;;;;
150222;0000;;;;
150223;0000;;;;
150224;0000;;;;
150225;0000;;;;
150226;0000;;;;
150227;0000;;;;
150228;0000;;;;
150301;0000;;;;
150302;0000;;;;
150303;0000;;;;
150304;0000;;;;
150305;0000;;;;
150306;0000;;;;
150307;0000;15,5642;;;
150308;0000;17,865;;;
150309;0000;15,5672;;;
150310;0000;20,9577;;;
150311;0000;22,847;;;
150312;0000;20,538;;;
150313;0000;19,4009;;;
150314;0000;19,8488;;;
150315;0000;25,5135;;;
150316;0000;21,4074;;;
150317;0000;20,9473;;;
150318;0000;20,0026;;;
150319;0000;19,2673;;;
150320;0000;21,0428;;;
150321;0000;14,6944;;;
150322;0000;10,8878;;;
150323;0000;5,09734;;;
150324;0000;4,60519;;;
150325;0000;;;;
150326;0000;10,7454;;;
150327;0000;14,5887;;;
150328;0000;18,1607;;;
150329;0000;20,593;;;
150330;0000;14,7987;;;
150331;0000;15,2951;;;
150401;0000;19,3246;;;
150402;0000;16,6923;;;
150403;0000;15,3048;;;
150404;0000;12,6698;;;
150405;0000;18,8487;;;
150406;0000;14,2222;;;
150407;0000;12,2368;;;
150408;0000;10,4052;;;
150409;0000;12,6686;;;
150410;0000;14,0673;;;
150411;0000;17,5534;;;
150412;0000;20,8212;;;
150413;0000;18,5923;;;
150414;0000;13,6006;;;
150415;0000;9,51723;;;
150416;0000;14,1587;;;
150417;0000;12,2465;;;
150418;0000;17,8795;;;
150419;0000;10,1631;;;
150420;0000;4,97119;;;
150421;0000;10,8251;;;
150422;0000;13,6301;;;
150423;0000;14,6153;;;
150424;0000;14,9912;;;
150425;0000;16,2513;;;
150426;0000;17,6665;;;
150427;0000;16,6555;;;
150428;0000;15,9825;;;
150429;0000;13,3582;;;
150430;0000;14,9405;;;
150501;0000;8,99496;;;
150502;0000;12,2616;;;
150503;0000;11,5667;;;
150504;0000;8,80687;;;
150505;0000;10,1933;;;
150506;0000;12,6669;;;
150507;0000;9,03334;;;
150508;0000;4,04253;;;
150509;0000;7,99864;;;
150510;0000;12,5974;;;
150511;0000;7,41425;;;
150512;0000;5,60809;;;
150513;0000;7,26898;;;
150514;0000;10,5908;;;
150515;0000;9,48633;;;
150516;0000;12,7003;;;
150517;0000;11,4289;;;
150518;0000;10,5828;;;
150519;0000;9,58469;;;
150520;0000;7,59621;;;
150521;0000;5,47222;;;
150522;0000;5,10629;;;
150523;0000;5,21465;;;
150524;0000;8,7299;;;
150525;0000;4,48389;;;
150526;0000;5,59728;;;
150527;0000;6,78266;;;
150528;0000;3,53352;;;
150529;0000;7,66279;;;
150530;0000;5,80638;;;
150531;0000;4,67142;;;
150601;0000;1,72997;;;
150602;0000;2,31467;;;
150603;0000;4,78587;;;
150604;0000;2,18702;;;
150605;0000;4,85487;;;
150606;0000;3,75091;;;
150607;0000;6,53857;;;
150608;0000;6,86005;;;
150609;0000;3,37852;;;
150610;0000;6,92385;;;
150611;0000;5,60687;;;
150612;0000;4,20731;;;
150613;0000;7,03057;;;
150614;0000;6,58678;;;
150615;0000;5,24429;;;
150616;0000;3,85442;;;
150617;0000;4,33359;;;
150618;0000;3,90871;;;
150619;0000;3,40702;;;
150620;0000;4,7697;;;
150621;0000;3,49765;;;
150622;0000;2,64316;;;
150623;0000;3,18055;;;
150624;0000;3,89317;;;
150625;0000;4,29277;;;
150626;0000;4,56976;;;
150627;0000;4,19263;;;
150628;0000;6,17793;;;
150629;0000;6,66487;;;
150630;0000;1,98174;;;
150701;0000;1,57718;;;
150702;0000;4,97434;;;
150703;0000;6,01694;;;
150704;0000;5,47906;;;
150705;0000;1,47135;;;
150706;0000;2,3008;;;
150707;0000;4,52566;;;
150708;0000;1,23726;;;
150709;0000;1,69944;;;
150710;0000;1,35695;;;
150711;0000;1,42456;;;
150712;0000;10,0955;;;
150713;0000;8,4314;;;
150714;0000;3,92234;;;
150715;0000;1,43882;;;
150716;0000;5,1368;;;
150717;0000;4,32964;;;
150718;0000;4,51141;;;
150719;0000;3,1309;;;
150720;0000;4,62289;;;
150721;0000;2,47628;;;
150722;0000;2,6384;;;
150723;0000;5,07659;;;
150724;0000;3,66609;;;
150725;0000;2,96873;;;
150726;0000;3,57383;;;
150727;0000;2,40944;;;
150728;0000;1,29743;;;
150729;0000;4,44431;;;
150730;0000;4,82293;;;
150731;0000;2,90232;;;
150801;0000;1,41448;;;
150802;0000;1,36845;;;
150803;0000;1,60958;;;
150804;0000;2,94913;;;
150805;0000;1,56514;;;
150806;0000;;;;
150807;0000;;;;
150808;0000;;;;
150809;0000;;;;
150810;0000;;;;
150811;0000;;;;
150812;0000;;;;
150813;0000;;;;
150814;0000;;;;
150815;0000;;;;
150816;0000;;;;
150817;0000;;;;
150818;0000;;;;
150819;0000;;;;
150820;0000;7,23803;;;
150821;0000;9,94211;;;
150822;0000;10,0263;;;
150823;0000;4,90643;;;
150824;0000;6,39767;;;
150825;0000;7,64615;;;
150826;0000;6,84726;;;
150827;0000;1,46946;;;
150828;0000;5,48634;;;
150829;0000;8,23683;;;
150830;0000;11,2928;;;
150831;0000;9,37056;;;
150901;0000;11,0193;;;
150902;0000;10,3303;;;
150903;0000;11,7458;;;
150904;0000;15,0664;;;
150905;0000;12,2133;;;
150906;0000;12,0542;;;
150907;0000;4,96548;;;
150908;0000;2,4242;;;
150909;0000;2,16979;;;
150910;0000;7,32485;;;
150911;0000;9,84822;;;
150912;0000;12,501;;;
150913;0000;13,9172;;;
150914;0000;6,50077;;;
150915;0000;5,01571;;;
150916;0000;8,02025;;;
150917;0000;15,9255;;;
150918;0000;11,2681;;;
150919;0000;10,5983;;;
150920;0000;13,566;;;
150921;0000;15,1879;;;
150922;0000;14,978;;;
150923;0000;13,1153;;;
150924;0000;6,41686;;;
150925;0000;7,27992;;;
150926;0000;9,64859;;;
150927;0000;8,17183;;;
150928;0000;12,196;;;
