FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;11,4167;;;
150102;0000;11,625;;;
150103;0000;15,125;;;
150104;0000;17,625;;;
150105;0000;16,3333;;;
150106;0000;17,4167;;;
150107;0000;17,4167;;;
150108;0000;16,2917;;;
150109;0000;19,5;;;
150110;0000;15,125;;;
150111;0000;18;;;
150112;0000;21,9565;;;
150113;0000;27,2917;;;
150114;0000;22,75;;;
150115;0000;16,8333;;;
150116;0000;27,0833;;;
150117;0000;20,875;;;
150118;0000;20,7917;;;
150119;0000;14,1667;;;
150120;0000;11,9167;;;
150121;0000;13,8333;;;
150122;0000;13,8333;;;
150123;0000;15,7917;;;
150124;0000;14,875;;;
150125;0000;12,6087;;;
150126;0000;;;5,5238;
150127;0000;;;3;
150128;0000;;;6,125;
150129;0000;;;9,69565;
150130;0000;;;11,2917;
150131;0000;;;11,7083;
150201;0000;;;19,5417;
150202;0000;;;8,69565;
150203;0000;;;1,79167;
150204;0000;;;1,66667;
150205;0000;;;1,95833;
150206;0000;;;2,45833;
150207;0000;;;;
150208;0000;;;;
150209;0000;;;;
150210;0000;16,9167;;;
150211;0000;19,0833;;;
150212;0000;22,125;;;
150213;0000;24,7619;;;
150214;0000;26,5417;;;
150215;0000;27,75;;;
150216;0000;29,375;;;
150217;0000;22,4583;;;
150218;0000;;;30,625;
150219;0000;37,0435;;;
150220;0000;42,375;;;
150221;0000;20,7917;;;
150222;0000;17,1667;;;
150223;0000;18,4167;;;
150224;0000;19,9583;;;
150225;0000;23,6667;;;
150226;0000;18,8695;;;
150227;0000;14,375;;;
150228;0000;11,9583;;;
150301;0000;11,5417;;;
150302;0000;11,875;;;
150303;0000;14,7917;;;
150304;0000;16,2083;;;
150305;0000;17,0417;;;
150306;0000;21,25;;;
150307;0000;18,625;;;
150308;0000;15,5833;;;
150309;0000;19,4583;;;
150310;0000;26,9167;;;
150311;0000;32,6666;;;
150312;0000;41,5833;;;
150313;0000;47,2083;;;
150314;0000;29,875;;;
150315;0000;26,5;;;
150316;0000;29,0833;;;
150317;0000;27;;;
150318;0000;;;24,0476;
150319;0000;;;6,79166;
150320;0000;;;;
150321;0000;;;;
150322;0000;15,5833;;;
150323;0000;13,5417;;;
150324;0000;19,8333;;;
150325;0000;28,9048;;;
150326;0000;7,94444;;;
150327;0000;18,6667;;;
150328;0000;19,4583;;;
150329;0000;12,4167;;;
150330;0000;11,2083;;;
150331;0000;18;;;
150401;0000;26,0833;;;
150402;0000;20,5;;;
150403;0000;10,9167;;;
150404;0000;9,33333;;;
150405;0000;19,5417;;;
150406;0000;12,1667;;;
150407;0000;10,2917;;;
150408;0000;22,0833;;;
150409;0000;17,8333;;;
150410;0000;30,75;;;
150411;0000;34,2083;;;
150412;0000;26,5417;;;
150413;0000;27,5;;;
150414;0000;20,4167;;;
150415;0000;7,83333;;;
150416;0000;17,1667;;;
150417;0000;29,5;;;
150418;0000;40,7083;;;
150419;0000;13,875;;;
150420;0000;32,2916;;;
150421;0000;34,25;;;
150422;0000;34,6666;;;
150423;0000;40;;;
150424;0000;43,1666;;;
150425;0000;58,9583;;;
150426;0000;51,375;;;
150427;0000;58;;;
150428;0000;54,2083;;;
150429;0000;50,2083;;;
150430;0000;46,375;;;
150501;0000;46,375;;;
150502;0000;26,5;;;
150503;0000;22,125;;;
150504;0000;32,25;;;
150505;0000;38,7916;;;
