FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;;;0,865583;
150102;0000;;;0,94251;
150103;0000;;;0,983727;
150104;0000;;;1,05342;
150105;0000;;;0,95801;
150106;0000;;;0,986943;
150107;0000;;;0,945954;
150108;0000;;;0,975347;
150109;0000;;;1,09785;
150110;0000;;;1,05744;
150111;0000;;;1,10049;
150112;0000;;;1,044;
150113;0000;;;1,01737;
150114;0000;;;1,03964;
150115;0000;;;1,03723;
150116;0000;;;1,05388;
150117;0000;;;1,07145;
150118;0000;;;0,966965;
150119;0000;;;0,952613;
150120;0000;;;0,956632;
150121;0000;;;0,983958;
150122;0000;;;0,934702;
150123;0000;;;1,08947;
150124;0000;;;1,0548;
150125;0000;;;0,997966;
150126;0000;;;0,906802;
150127;0000;;;0,94251;
150128;0000;;;;
150129;0000;;;1,02605;
150130;0000;;;1,00164;
150131;0000;;;1,09502;
150201;0000;;;;
150202;0000;;;0,978676;
150203;0000;;;;
150204;0000;;;0,913451;
150205;0000;;;1,02081;
150206;0000;;;1,05962;
150207;0000;;;1,07799;
150208;0000;;;0,815754;
150209;0000;;;1,1881;
150210;0000;;;1,19062;
150211;0000;;;;
150212;0000;;;;
150213;0000;;;;
150214;0000;;;;
150215;0000;;;;
150216;0000;;;;
150217;0000;;;;
150218;0000;0,407142;;;
150219;0000;0,550414;;;
150220;0000;0,532809;;;
150221;0000;0,578549;;;
150222;0000;0,453391;;;
150223;0000;0,479764;;;
150224;0000;0,35092;;;
150225;0000;0,412158;;;
150226;0000;0,366482;;;
150227;0000;0,350826;;;
150228;0000;0,356324;;;
150301;0000;0,46144;;;
150302;0000;0,445784;;;
150303;0000;0,478395;;;
150304;0000;0,51822;;;
150305;0000;0,544174;;;
150306;0000;0,572124;;;
150307;0000;0,469697;;;
150308;0000;0,4748;;;
150309;0000;0,604897;;;
150310;0000;0,850132;;;
150311;0000;0,705238;;;
150312;0000;0,811096;;;
150313;0000;0,730889;;;
150314;0000;0,582004;;;
150315;0000;0,715372;;;
150316;0000;0,518347;;;
150317;0000;0,808061;;;
150318;0000;0,515625;;;
150319;0000;0,804254;;;
150320;0000;0,668752;;;
150321;0000;0,468616;;;
150322;0000;0,482487;;;
150323;0000;0,409948;;;
150324;0000;0,431681;;;
150325;0000;0,693291;;;
150326;0000;0,510055;;;
150327;0000;0,633798;;;
150328;0000;0,599934;;;
150329;0000;0,458571;;;
150330;0000;0,444726;;;
150331;0000;0,647831;;;
150401;0000;0,696462;;;
150402;0000;0,833038;;;
150403;0000;0,462316;;;
150404;0000;0,603761;;;
150405;0000;0,63318;;;
150406;0000;0,455892;;;
150407;0000;0,465066;;;
150408;0000;0,753829;;;
150409;0000;0,728431;;;
150410;0000;0,82434;;;
150411;0000;0,944603;;;
150412;0000;0,87808;;;
150413;0000;0,633441;;;
150414;0000;0,577783;;;
150415;0000;0,449866;;;
150416;0000;0,402897;;;
150417;0000;1,07414;;;
150418;0000;0,632506;;;
150419;0000;0,432653;;;
150420;0000;1,29321;;;
150421;0000;1,15034;;;
150422;0000;1,31177;;;
150423;0000;1,14558;;;
150424;0000;1,37676;;;
150425;0000;0,88116;;;
150426;0000;0,706395;;;
150427;0000;1,01569;;;
150428;0000;0,989585;;;
150429;0000;1,03602;;;
150430;0000;0,866976;;;
150501;0000;0,895662;;;
150502;0000;0,224338;;;
150503;0000;0,5205;;;
150504;0000;1,0056;;;
150505;0000;1,07762;;;
150506;0000;1,56818;;;
150507;0000;0,95678;;;
150508;0000;1,3352;;;
150509;0000;1,37048;;;
150510;0000;1,05518;;;
150511;0000;1,41754;;;
150512;0000;1,4472;;;
150513;0000;0,947349;;;
150514;0000;1,1595;;;
150515;0000;1,23912;;;
150516;0000;1,78459;;;
150517;0000;1,32064;;;
150518;0000;1,44323;;;
150519;0000;1,07571;;;
150520;0000;0,457059;;;
150521;0000;1,0905;;;
150522;0000;1,06843;;;
150523;0000;1,14124;;;
150524;0000;1,02649;;;
150525;0000;1,58964;;;
150526;0000;1,12771;;;
150527;0000;1,84823;;;
150528;0000;1,16622;;;
150529;0000;1,07983;;;
150530;0000;1,44352;;;
150531;0000;1,35212;;;
150601;0000;1,39156;;;
150602;0000;1,22964;;;
150603;0000;1,68143;;;
150604;0000;2,61182;;;
150605;0000;1,71498;;;
150606;0000;;;;
150607;0000;0,949134;;;
150608;0000;0,72195;;;
150609;0000;0,738191;;;
150610;0000;0,277991;;;
150611;0000;1,43105;;;
150612;0000;1,03983;;;
150613;0000;0,704562;;;
150614;0000;0,945038;;;
150615;0000;1,31746;;;
150616;0000;1,12501;;;
150617;0000;1,24035;;;
150618;0000;2,23982;;;
150619;0000;2,81844;;;
150620;0000;1,63557;;;
150621;0000;2,40584;;;
150622;0000;1,9659;;;
150623;0000;2,20748;;;
150624;0000;2,09439;;;
150625;0000;2,78971;;;
150626;0000;2,93637;;;
150627;0000;2,88281;;;
150628;0000;2,30298;;;
150629;0000;2,60674;;;
150630;0000;3,26564;;;
150701;0000;3,01153;;;
150702;0000;2,31494;;;
150703;0000;3,12761;;;
150704;0000;3,16761;;;
150705;0000;3,5809;;;
150706;0000;1,96429;;;
150707;0000;2,61241;;;
150708;0000;2,87407;;;
150709;0000;2,07611;;;
150710;0000;1,98164;;;
150711;0000;2,22817;;;
150712;0000;0,664652;;;
150713;0000;0,851759;;;
150714;0000;2,056;;;
150715;0000;2,5375;;;
150716;0000;3,16795;;;
150717;0000;2,81454;;;
150718;0000;1,77787;;;
150719;0000;1,1977;;;
150720;0000;1,75672;;;
150721;0000;2,69283;;;
150722;0000;2,84132;;;
150723;0000;2,91694;;;
150724;0000;3,4793;;;
150725;0000;3,81639;;;
150726;0000;2,20035;;;
150727;0000;1,81798;;;
150728;0000;2,0882;;;
150729;0000;3,09152;;;
150730;0000;1,57777;;;
150731;0000;1,95006;;;
150801;0000;2,40594;;;
150802;0000;1,5643;;;
150803;0000;2,64378;;;
150804;0000;1,56051;;;
150805;0000;0,78811;;;
150806;0000;0,715014;;;
150807;0000;1,38517;;;
150808;0000;0,67734;;;
150809;0000;0,543584;;;
150810;0000;0,5648;;;
150811;0000;0,758642;;;
150812;0000;1,0239;;;
150813;0000;1,61775;;;
150814;0000;1,54424;;;
150815;0000;1,06385;;;
150816;0000;0,835231;;;
150817;0000;0,90697;;;
150818;0000;1,52626;;;
150819;0000;1,80816;;;
150820;0000;0,987537;;;
150821;0000;0,334151;;;
150822;0000;0,795923;;;
150823;0000;0,978756;;;
150824;0000;1,77166;;;
150825;0000;0,44764;;;
150826;0000;0,997681;;;
150827;0000;1,68705;;;
150828;0000;1,87102;;;
150829;0000;2,10696;;;
150830;0000;1,29789;;;
150831;0000;1,10766;;;
150901;0000;0,883227;;;
150902;0000;0,917683;;;
150903;0000;1,02094;;;
150904;0000;1,26314;;;
150905;0000;1,31661;;;
150906;0000;0,29938;;;
150907;0000;0,623875;;;
150908;0000;0,893363;;;
150909;0000;0,806706;;;
150910;0000;0,570777;;;
150911;0000;0,814245;;;
150912;0000;1,15754;;;
150913;0000;1,56674;;;
