FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;7,71136;;;
150102;0000;17,6479;;;
150103;0000;18,5216;;;
150104;0000;14,9414;;;
150105;0000;14,9531;;;
150106;0000;17,4572;;;
150107;0000;14,447;;;
150108;0000;18,5686;;;
150109;0000;27,9018;;;
150110;0000;20,5161;;;
150111;0000;14,9183;;;
150112;0000;19,5438;;;
150113;0000;20,5779;;;
150114;0000;22,378;;;
150115;0000;19,3472;;;
150116;0000;21,2841;;;
150117;0000;16,7038;;;
150118;0000;11,0727;;;
150119;0000;14,6424;;;
150120;0000;14,0805;;;
150121;0000;15,8367;;;
150122;0000;16,2986;;;
150123;0000;20,6227;;;
150124;0000;16,5247;;;
150125;0000;11,1815;;;
150126;0000;13,8485;;;
150127;0000;15,741;;;
150128;0000;16,1067;;;
150129;0000;19,8576;;;
150130;0000;18,7384;;;
150131;0000;18,4777;;;
150201;0000;17,157;;;
150202;0000;20,0032;;;
150203;0000;17,7273;;;
150204;0000;19,9585;;;
150205;0000;20,3322;;;
150206;0000;19,4359;;;
150207;0000;17,9349;;;
150208;0000;9,23514;;;
150209;0000;19,3511;;;
150210;0000;22,9721;;;
150211;0000;24,3725;;;
150212;0000;27,9399;;;
150213;0000;30,5666;;;
150214;0000;25,406;;;
150215;0000;19,4426;;;
150216;0000;21,9048;;;
150217;0000;22,391;;;
150218;0000;18,7582;;;
150219;0000;18,5924;;;
150220;0000;22,9775;;;
150221;0000;17,1177;;;
150222;0000;13,6374;;;
150223;0000;17,0787;;;
150224;0000;10,3343;;;
150225;0000;15,0726;;;
150226;0000;10,9678;;;
150227;0000;9,93045;;;
150228;0000;5,65945;;;
150301;0000;8,11694;;;
150302;0000;12,5872;;;
150303;0000;11,5007;;;
150304;0000;15,9647;;;
150305;0000;23,665;;;
150306;0000;20,191;;;
150307;0000;15,6784;;;
150308;0000;12,565;;;
150309;0000;19,2262;;;
150310;0000;29,5267;;;
150311;0000;;;25,2951;
150312;0000;;;26,272;
150313;0000;23,4147;;;
150314;0000;19,6201;;;
150315;0000;21,8853;;;
150316;0000;;;30,381;
150317;0000;;;33,8124;
150318;0000;;;32,1631;
150319;0000;36,6451;;;
150320;0000;34,7454;;;
150321;0000;23,4989;;;
150322;0000;10,584;;;
150323;0000;13,4128;;;
150324;0000;19,7179;;;
150325;0000;26,3648;;;
150326;0000;16,2407;;;
150327;0000;25,8678;;;
150328;0000;24,4041;;;
150329;0000;17,5652;;;
150330;0000;19,5355;;;
150331;0000;27,836;;;
150401;0000;42,5402;;;
150402;0000;35,6006;;;
150403;0000;18,3746;;;
150404;0000;15,2958;;;
150405;0000;23,1688;;;
150406;0000;23,6232;;;
150407;0000;20,2908;;;
150408;0000;27,986;;;
150409;0000;33,8635;;;
150410;0000;39,5301;;;
150411;0000;33,2701;;;
150412;0000;29,064;;;
150413;0000;31,3563;;;
150414;0000;28,7475;;;
150415;0000;20,56;;;
150416;0000;20,7426;;;
150417;0000;38,3103;;;
150418;0000;29,0229;;;
150419;0000;21,9267;;;
150420;0000;40,1208;;;
150421;0000;37,8076;;;
150422;0000;49,9135;;;
150423;0000;50,931;;;
150424;0000;52,4978;;;
150425;0000;37,2399;;;
150426;0000;23,5187;;;
150427;0000;38,4537;;;
150428;0000;43,9074;;;
