FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;1,19703;;;
150102;0000;8,90382;;;
150103;0000;9,18172;;;
150104;0000;5,26273;;;
150105;0000;6,62319;;;
150106;0000;10,8336;;;
150107;0000;4,19571;;;
150108;0000;8,04008;;;
150109;0000;20,0821;;;
150110;0000;9,24786;;;
150111;0000;5,04778;;;
150112;0000;11,6376;;;
150113;0000;12,1858;;;
150114;0000;10,7942;;;
150115;0000;7,46695;;;
150116;0000;11,1115;;;
150117;0000;6,27709;;;
150118;0000;2,62586;;;
150119;0000;2,61771;;;
150120;0000;3,24813;;;
150121;0000;7,09312;;;
150122;0000;6,97836;;;
150123;0000;10,2453;;;
150124;0000;11,3389;;;
150125;0000;4,11558;;;
150126;0000;9,96704;;;
150127;0000;10,329;;;
150128;0000;8,10823;;;
150129;0000;12,2467;;;
150130;0000;7,04368;;;
150131;0000;9,91637;;;
150201;0000;6,93373;;;
150202;0000;10,0556;;;
150203;0000;9,09837;;;
150204;0000;8,79314;;;
150205;0000;10,9524;;;
150206;0000;10,4673;;;
150207;0000;12,7496;;;
150208;0000;3,28394;;;
150209;0000;10,6845;;;
150210;0000;16,2019;;;
150211;0000;18,1738;;;
150212;0000;18,3107;;;
150213;0000;18,8312;;;
150214;0000;20,5673;;;
150215;0000;11,8468;;;
150216;0000;19,834;;;
150217;0000;12,2968;;;
150218;0000;6,86095;;;
150219;0000;12,996;;;
150220;0000;7,94219;;;
150221;0000;9,8539;;;
150222;0000;5,42757;;;
150223;0000;14,7245;;;
150224;0000;1,53117;;;
150225;0000;3,02571;;;
150226;0000;4,68497;;;
150227;0000;3,69082;;;
150228;0000;1,90339;;;
150301;0000;5,55509;;;
150302;0000;11,5092;;;
150303;0000;14,2492;;;
150304;0000;17,644;;;
150305;0000;25,0427;;;
150306;0000;23,3907;;;
150307;0000;10,0174;;;
150308;0000;12,4272;;;
150309;0000;18,2723;;;
150310;0000;41,0663;;;
150311;0000;;;;
150312;0000;;;;
150313;0000;21,7485;;;
150314;0000;8,50813;;;
150315;0000;16,9761;;;
150316;0000;;;;
150317;0000;;;;
150318;0000;;;;
150319;0000;41,5643;;;
150320;0000;43,5349;;;
150321;0000;36,3471;;;
