FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;8,90294;;;
150102;0000;26,5518;;;
150103;0000;27,7034;;;
150104;0000;20,2041;;;
150105;0000;21,5762;;;
150106;0000;28,2908;;;
150107;0000;18,6427;;;
150108;0000;26,6087;;;
150109;0000;47,9839;;;
150110;0000;29,7639;;;
150111;0000;19,9661;;;
150112;0000;31,1814;;;
150113;0000;32,7636;;;
150114;0000;33,1723;;;
150115;0000;26,8141;;;
150116;0000;32,3956;;;
150117;0000;22,9809;;;
150118;0000;13,6985;;;
150119;0000;17,2601;;;
150120;0000;17,3286;;;
150121;0000;22,9298;;;
150122;0000;23,2769;;;
150123;0000;30,8679;;;
150124;0000;27,8635;;;
150125;0000;15,2971;;;
150126;0000;23,8156;;;
150127;0000;26,07;;;
150128;0000;24,2149;;;
150129;0000;32,1042;;;
150130;0000;25,7821;;;
150131;0000;28,3941;;;
150201;0000;24,0907;;;
150202;0000;30,0588;;;
150203;0000;26,8257;;;
150204;0000;28,7516;;;
150205;0000;31,2847;;;
150206;0000;29,9032;;;
150207;0000;30,6845;;;
150208;0000;12,5191;;;
150209;0000;30,0356;;;
150210;0000;39,174;;;
150211;0000;42,5463;;;
150212;0000;46,2507;;;
150213;0000;49,3979;;;
150214;0000;45,9733;;;
150215;0000;31,2893;;;
150216;0000;41,7388;;;
150217;0000;34,6844;;;
150218;0000;25,6192;;;
150219;0000;31,5884;;;
150220;0000;30,9197;;;
150221;0000;26,9716;;;
150222;0000;19,0392;;;
150223;0000;31,8032;;;
150224;0000;11,812;;;
150225;0000;18,0867;;;
150226;0000;15,6359;;;
150227;0000;13,4646;;;
150228;0000;7,39557;;;
150301;0000;13,5204;;;
150302;0000;24,0963;;;
150303;0000;25,7075;;;
150304;0000;33,5955;;;
150305;0000;48,6802;;;
150306;0000;43,5818;;;
150307;0000;25,6486;;;
150308;0000;24,8296;;;
150309;0000;37,4803;;;
150310;0000;70,5907;;;
150311;0000;;;;
150312;0000;;;;
150313;0000;45,1564;;;
150314;0000;28,0309;;;
150315;0000;38,7644;;;
150316;0000;;;;
150317;0000;;;;
150318;0000;;;;
150319;0000;78,2094;;;
150320;0000;78,2803;;;
150321;0000;59,8461;;;
150322;0000;19,5567;;;
150323;0000;22,1696;;;
150324;0000;32,3067;;;
150325;0000;61,4964;;;
150326;0000;40,533;;;
150327;0000;64,4272;;;
150328;0000;49,3035;;;
150329;0000;37,5747;;;
150330;0000;28,2002;;;
150331;0000;67,2207;;;
150401;0000;92,8436;;;
150402;0000;81,1541;;;
150403;0000;37,4904;;;
150404;0000;33,4919;;;
150405;0000;52,3988;;;
150406;0000;54,8928;;;
150407;0000;27,484;;;
150408;0000;83,3025;;;
150409;0000;83,7897;;;
150410;0000;92,694;;;
150411;0000;80,8335;;;
150412;0000;67,8519;;;
150413;0000;63,7359;;;
150414;0000;67,5977;;;
150415;0000;38,3333;;;
150416;0000;29,4556;;;
150417;0000;107,868;;;
150418;0000;74,9097;;;
150419;0000;26,3186;;;
150420;0000;131,532;;;
150421;0000;112,07;;;
150422;0000;156,377;;;
150423;0000;143,058;;;
150424;0000;147,634;;;
150425;0000;99,425;;;
150426;0000;32,546;;;
150427;0000;76,771;;;
150428;0000;110,781;;;
150429;0000;127,029;;;
150430;0000;85,2433;;;
150501;0000;44,7731;;;
150502;0000;17,9978;;;
150503;0000;23,1131;;;
150504;0000;85,3834;;;
150505;0000;119,261;;;
150506;0000;176,588;;;
150507;0000;117,267;;;
150508;0000;150,883;;;
150509;0000;114,468;;;
150510;0000;88,7867;;;
150511;0000;178,292;;;
150512;0000;201,45;;;
150513;0000;121,891;;;
150514;0000;148,03;;;
150515;0000;137,848;;;
150516;0000;161;;;
150517;0000;120,207;;;
150518;0000;191,26;;;
150519;0000;126,387;;;
150520;0000;46,1556;;;
150521;0000;87,314;;;
150522;0000;109,453;;;
150523;0000;74,1003;;;
150524;0000;73,9517;;;
150525;0000;201,362;;;
150526;0000;205,678;;;
150527;0000;205,315;;;
150528;0000;143,951;;;
150529;0000;130,392;;;
150530;0000;162,193;;;
150531;0000;142,306;;;
150601;0000;202,988;;;
150602;0000;209,099;;;
150603;0000;207,611;;;
150604;0000;;;;
150605;0000;209,235;;;
150606;0000;;;;
150607;0000;70,9996;;;
150608;0000;128,686;;;
150609;0000;;;;
150610;0000;;;;
150611;0000;;;;
150612;0000;;;;
150613;0000;;;;
150614;0000;;;;
150615;0000;;;;
150616;0000;;;;
150617;0000;;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;151,066;;;
150621;0000;184,645;;;
150622;0000;208,026;;;
150623;0000;164,054;;;
150624;0000;140,217;;;
150625;0000;203,485;;;
150626;0000;198,18;;;
150627;0000;191,544;;;
150628;0000;113,831;;;
150629;0000;120,599;;;
150630;0000;242,812;;;
150701;0000;213,369;;;
150702;0000;159,54;;;
