FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;15,832;;;
150102;0000;18,1103;;;
150103;0000;21,9386;;;
150104;0000;25,3021;;;
150105;0000;17,764;;;
150106;0000;15,7404;;;
150107;0000;16,1148;;;
150108;0000;19,0966;;;
150109;0000;24,0979;;;
150110;0000;21,0304;;;
150111;0000;23,3001;;;
150112;0000;20,0767;;;
150113;0000;20,7966;;;
150114;0000;22,4544;;;
150115;0000;16,6302;;;
150116;0000;17,6741;;;
150117;0000;16,3086;;;
150118;0000;14,1241;;;
150119;0000;11,5887;;;
150120;0000;15,3779;;;
150121;0000;12,1673;;;
150122;0000;12,9098;;;
150123;0000;16,2525;;;
150124;0000;17,678;;;
150125;0000;14,3661;;;
150126;0000;11,2443;;;
150127;0000;12,6957;;;
150128;0000;17,4939;;;
150129;0000;17,148;;;
150130;0000;14,2075;;;
150131;0000;18,4685;;;
150201;0000;20,487;;;
150202;0000;15,9675;;;
150203;0000;15,8629;;;
150204;0000;18,1159;;;
150205;0000;14,8905;;;
150206;0000;17,0857;;;
150207;0000;14,9004;;;
150208;0000;11,2331;;;
150209;0000;11,5896;;;
150210;0000;16,2643;;;
150211;0000;18,3961;;;
150212;0000;17,3908;;;
150213;0000;21,7224;;;
150214;0000;21,3453;;;
150215;0000;22,8467;;;
150216;0000;19,0297;;;
150217;0000;20,2474;;;
150218;0000;16,2398;;;
150219;0000;23,2605;;;
150220;0000;17,4437;;;
150221;0000;15,2044;;;
150222;0000;13,7484;;;
150223;0000;14,1553;;;
150224;0000;10,4954;;;
150225;0000;18,1487;;;
150226;0000;12,6836;;;
150227;0000;17,3424;;;
150228;0000;12,079;;;
150301;0000;12,9002;;;
150302;0000;11,4556;;;
150303;0000;14,1567;;;
150304;0000;16,2764;;;
150305;0000;17,9557;;;
150306;0000;16,6237;;;
150307;0000;14,5488;;;
150308;0000;16,8167;;;
150309;0000;14,6149;;;
150310;0000;20,0113;;;
150311;0000;22,2492;;;
150312;0000;19,4218;;;
150313;0000;20,7179;;;
150314;0000;21,4378;;;
150315;0000;26,369;;;
150316;0000;20,9209;;;
150317;0000;21,2782;;;
150318;0000;22,6861;;;
150319;0000;20,6419;;;
150320;0000;19,3012;;;
150321;0000;15,7443;;;
150322;0000;11,4623;;;
150323;0000;6,28732;;;
150324;0000;3,90057;;;
150325;0000;6,62837;;;
150326;0000;14,4308;;;
150327;0000;13,6393;;;
150328;0000;18,6156;;;
150329;0000;21,5021;;;
150330;0000;14,306;;;
150331;0000;13,8345;;;
150401;0000;16,4158;;;
150402;0000;17,8473;;;
150403;0000;15,7879;;;
150404;0000;13,5095;;;
150405;0000;18,1609;;;
150406;0000;13,9352;;;
150407;0000;11,1315;;;
150408;0000;12,9505;;;
150409;0000;12,3607;;;
150410;0000;11,0456;;;
150411;0000;16,7477;;;
150412;0000;20,5899;;;
150413;0000;15,0344;;;
150414;0000;13,0555;;;
150415;0000;7,62589;;;
150416;0000;12,2377;;;
150417;0000;8,56105;;;
150418;0000;18,1;;;
150419;0000;9,69402;;;
150420;0000;3,51519;;;
150421;0000;10,5392;;;
150422;0000;10,7942;;;
150423;0000;11,3625;;;
150424;0000;12,0473;;;
150425;0000;16,3816;;;
150426;0000;19,2584;;;
150427;0000;18,4261;;;
150428;0000;14,0324;;;
150429;0000;12,019;;;
150430;0000;13,6594;;;
150501;0000;9,86993;;;
150502;0000;12,3113;;;
150503;0000;11,1975;;;
150504;0000;6,95221;;;
150505;0000;8,55345;;;
150506;0000;8,44574;;;
150507;0000;8,29153;;;
150508;0000;2,6702;;;
150509;0000;8,4288;;;
150510;0000;10,533;;;
150511;0000;5,6746;;;
150512;0000;4,43958;;;
150513;0000;6,74946;;;
150514;0000;7,11591;;;
150515;0000;6,32217;;;
150516;0000;11,723;;;
150517;0000;12,6874;;;
150518;0000;11,2267;;;
150519;0000;5,95747;;;
150520;0000;6,90771;;;
150521;0000;6,42504;;;
150522;0000;4,03823;;;
150523;0000;5,93429;;;
150524;0000;9,28027;;;
150525;0000;1,67316;;;
150526;0000;4,05244;;;
150527;0000;6,32828;;;
150528;0000;4,51291;;;
150529;0000;7,09901;;;
150530;0000;4,98866;;;
150531;0000;3,86086;;;
150601;0000;1,15571;;;
150602;0000;1,54672;;;
150603;0000;3,19045;;;
150604;0000;1,09999;;;
150605;0000;4,31054;;;
150606;0000;3,28474;;;
150607;0000;6,63121;;;
150608;0000;5,4618;;;
150609;0000;2,84874;;;
150610;0000;7,49747;;;
150611;0000;4,72475;;;
150612;0000;4,16802;;;
150613;0000;7,56718;;;
150614;0000;7,2117;;;
150615;0000;3,33073;;;
150616;0000;3,45287;;;
150617;0000;3,85044;;;
150618;0000;2,52864;;;
150619;0000;3,22599;;;
150620;0000;4,1964;;;
150621;0000;2,26644;;;
150622;0000;2,97039;;;
150623;0000;3,33328;;;
150624;0000;4,0066;;;
150625;0000;3,37841;;;
150626;0000;3,20447;;;
150627;0000;4,50651;;;
