FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;1,60989;;;
150102;0000;1,22227;;;
150103;0000;1,69032;;;
150104;0000;1,80779;;;
150105;0000;1,98348;;;
150106;0000;1;;;
150107;0000;1,01433;;;
150108;0000;1,03285;;;
150109;0000;1,22931;;;
150110;0000;1;;;
150111;0000;1,0669;;;
150112;0000;1,00179;;;
150113;0000;1,03046;;;
150114;0000;3,16072;;;
150115;0000;1,08062;;;
150116;0000;1,48127;;;
150117;0000;1,48424;;;
150118;0000;1,05585;;;
150119;0000;1,3547;;;
150120;0000;1,05076;;;
150121;0000;1,01689;;;
150122;0000;1,11108;;;
150123;0000;1,47522;;;
150124;0000;1,3046;;;
150125;0000;1,18693;;;
150126;0000;1,70653;;;
150127;0000;1,88057;;;
150128;0000;1,02179;;;
150129;0000;1,06962;;;
150130;0000;1,05161;;;
150131;0000;1,1584;;;
150201;0000;1,34544;;;
150202;0000;1,01276;;;
150203;0000;1,02963;;;
150204;0000;1,01917;;;
150205;0000;1;;;
150206;0000;1;;;
150207;0000;1,06083;;;
150208;0000;1;;;
150209;0000;1,06993;;;
150210;0000;1,06268;;;
150211;0000;1,22029;;;
150212;0000;2,79783;;;
150213;0000;2,84199;;;
150214;0000;2,82804;;;
150215;0000;2,2296;;;
150216;0000;2,32372;;;
150217;0000;2,34686;;;
150218;0000;1,97929;;;
150219;0000;1,52503;;;
150220;0000;1,49381;;;
150221;0000;1,35949;;;
150222;0000;1;;;
150223;0000;1;;;
150224;0000;;;;
150225;0000;;;;
150226;0000;1;;;
150227;0000;1;;;
150228;0000;;;;
150301;0000;1,21829;;;
150302;0000;1,14203;;;
150303;0000;1,29676;;;
150304;0000;1,22846;;;
150305;0000;1,3779;;;
150306;0000;1,36007;;;
150307;0000;1,34775;;;
150308;0000;1,2715;;;
150309;0000;1,34685;;;
150310;0000;1,55278;;;
150311;0000;1,47994;;;
150312;0000;1,50769;;;
150313;0000;1,69153;;;
150314;0000;1,83837;;;
150315;0000;1,86612;;;
150316;0000;1,66378;;;
150317;0000;1,89966;;;
150318;0000;1,77941;;;
150319;0000;1,61869;;;
150320;0000;1,84994;;;
150321;0000;1,5654;;;
150322;0000;1,30292;;;
150323;0000;1,22709;;;
150324;0000;1,24217;;;
150325;0000;1,23631;;;
150326;0000;1,27951;;;
150327;0000;1,35923;;;
150328;0000;1,39513;;;
150329;0000;1,41971;;;
150330;0000;1,39292;;;
150331;0000;1,91921;;;
150401;0000;1,81515;;;
150402;0000;1,78046;;;
150403;0000;1,39231;;;
150404;0000;1,38792;;;
150405;0000;1,4093;;;
150406;0000;1,35888;;;
150407;0000;1,21787;;;
150408;0000;1,43107;;;
150409;0000;1,89966;;;
150410;0000;1,93434;;;
150411;0000;1,68228;;;
150412;0000;1,37819;;;
150413;0000;1,36612;;;
150414;0000;1,3989;;;
150415;0000;1,37879;;;
150416;0000;1,34105;;;
150417;0000;2,13553;;;
150418;0000;1,71234;;;
150419;0000;1,44704;;;
150420;0000;1,72969;;;
150421;0000;1,96556;;;
150422;0000;2,0835;;;
150423;0000;2,53444;;;
150424;0000;2,52056;;;
150425;0000;1,81525;;;
150426;0000;1,36205;;;
150427;0000;1,53544;;;
150428;0000;1,95169;;;
150429;0000;2,87437;;;
150430;0000;2,5379;;;
150501;0000;1,75513;;;
150502;0000;1,36547;;;
150503;0000;2,3055;;;
150504;0000;2,14941;;;
150505;0000;2,06616;;;
150506;0000;2,18062;;;
150507;0000;1,98984;;;
150508;0000;1,76091;;;
150509;0000;1,57706;;;
150510;0000;2,23612;;;
150511;0000;2,60381;;;
150512;0000;2,50206;;;
150513;0000;2,68359;;;
150514;0000;2,45003;;;
150515;0000;2,1764;;;
150516;0000;2,47547;;;
150517;0000;1,93781;;;
150518;0000;2,1945;;;
150519;0000;1,9089;;;
150520;0000;1,32662;;;
150521;0000;1,39543;;;
150522;0000;1,50613;;;
150523;0000;1,56498;;;
150524;0000;2,14594;;;
150525;0000;2,3055;;;
150526;0000;2,38181;;;
150527;0000;2,3055;;;
150528;0000;2,4269;;;
150529;0000;1,66378;;;
150530;0000;1,69847;;;
150531;0000;1,74472;;;
150601;0000;2,38528;;;
150602;0000;2,15287;;;
150603;0000;2,30781;;;
