FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;25,8913;;;
150102;0000;41,5;;;
150103;0000;55,6875;;;
150104;0000;54,5416;;;
150105;0000;52,5833;;;
150106;0000;60,9166;;;
150107;0000;47,3958;;;
150108;0000;55,625;;;
150109;0000;70,1875;;;
150110;0000;71,1041;;;
150111;0000;57,1956;;;
150112;0000;72,8125;;;
150113;0000;75,0416;;;
150114;0000;68,5208;;;
150115;0000;65,75;;;
150116;0000;77,9166;;;
150117;0000;64,2083;;;
150118;0000;42,125;;;
150119;0000;37,6956;;;
150120;0000;40,3478;;;
150121;0000;48,3541;;;
150122;0000;54,9166;;;
150123;0000;61,5;;;
150124;0000;62,2708;;;
150125;0000;41,0833;;;
150126;0000;39,8947;;;
150127;0000;50,5625;;;
150128;0000;54,6041;;;
150129;0000;65,2916;;;
150130;0000;65,4166;;;
150131;0000;65,2708;;;
150201;0000;55,4375;;;
150202;0000;62,8541;;;
150203;0000;65,375;;;
150204;0000;71,9583;;;
150205;0000;73,7083;;;
150206;0000;67,25;;;
150207;0000;57,9375;;;
150208;0000;36,9375;;;
150209;0000;60,6458;;;
150210;0000;61,3125;;;
150211;0000;64,5208;;;
150212;0000;63,4583;;;
150213;0000;74,6666;;;
150214;0000;79,1458;;;
150215;0000;64,2083;;;
150216;0000;75,1875;;;
150217;0000;73,625;;;
150218;0000;67,9583;;;
150219;0000;85,8541;;;
150220;0000;78,125;;;
150221;0000;51,2291;;;
150222;0000;42,9583;;;
150223;0000;55,9583;;;
150224;0000;32,7916;;;
150225;0000;48,0869;;;
150226;0000;48,7291;;;
150227;0000;41,0416;;;
150228;0000;36,0416;;;
150301;0000;31,0833;;;
150302;0000;51,3125;;;
150303;0000;56,7083;;;
150304;0000;63,7291;;;
150305;0000;72,1875;;;
150306;0000;78,3333;;;
150307;0000;61,75;;;
150308;0000;46,8125;;;
150309;0000;70,9047;;;
150310;0000;112,438;;;
150311;0000;115,062;;;
150312;0000;117,125;;;
150313;0000;101;;;
150314;0000;87,2083;;;
150315;0000;82,25;;;
150316;0000;103,958;;;
150317;0000;95,9583;;;
150318;0000;97,0208;;;
150319;0000;97,6666;;;
150320;0000;108,271;;;
150321;0000;93,7291;;;
150322;0000;52,5625;;;
150323;0000;50,7083;;;
150324;0000;36,3541;;;
150325;0000;66,7222;;;
150326;0000;;;;
