FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;0,200061;;;
150102;0000;0,158676;;;
150103;0000;0,216231;;;
150104;0000;0,211012;;;
150105;0000;0,194735;;;
150106;0000;0,217391;;;
150107;0000;0,146279;;;
150108;0000;0,219112;;;
150109;0000;0,156083;;;
150110;0000;0,168917;;;
150111;0000;0,218319;;;
150112;0000;0,252183;;;
150113;0000;0,299963;;;
150114;0000;0,212752;;;
150115;0000;0,233743;;;
150116;0000;0,265353;;;
150117;0000;0,260069;;;
150118;0000;0,28048;;;
150119;0000;0,242905;;;
150120;0000;0,228176;;;
150121;0000;0,272246;;;
150122;0000;0,340205;;;
150123;0000;0,212813;;;
150124;0000;0,215664;;;
150125;0000;0,207069;;;
150126;0000;0,180995;;;
150127;0000;0,226669;;;
150128;0000;0,167906;;;
150129;0000;0,294048;;;
150130;0000;0,270738;;;
150131;0000;0,235886;;;
150201;0000;0,145479;;;
150202;0000;0,147857;;;
150203;0000;0,190947;;;
150204;0000;0,291033;;;
150205;0000;0,236758;;;
150206;0000;0,243832;;;
150207;0000;0,173662;;;
150208;0000;0,11385;;;
150209;0000;0,214553;;;
150210;0000;0,179964;;;
150211;0000;0,184974;;;
150212;0000;0,150714;;;
150213;0000;0,192497;;;
150214;0000;0,177573;;;
150215;0000;0,182489;;;
150216;0000;0,240933;;;
150217;0000;0,197183;;;
150218;0000;0,238759;;;
150219;0000;0,246848;;;
150220;0000;0,340838;;;
150221;0000;0,165075;;;
150222;0000;0,272941;;;
150223;0000;0,295324;;;
150224;0000;0,136721;;;
150225;0000;0,267596;;;
150226;0000;0,269823;;;
150227;0000;0,157774;;;
150228;0000;0,134058;;;
150301;0000;0,134818;;;
150302;0000;0,243021;;;
150303;0000;0,271898;;;
150304;0000;0,111771;;;
150305;0000;0,1;;;
150306;0000;0,102214;;;
150307;0000;0,230905;;;
150308;0000;0,168417;;;
150309;0000;0,225402;;;
150310;0000;0,298374;;;
150311;0000;0,502681;;;
150312;0000;0,441564;;;
150313;0000;0,436114;;;
150314;0000;0,334754;;;
150315;0000;0,205285;;;
150316;0000;0,36457;;;
150317;0000;0,386826;;;
150318;0000;0,483778;;;
150319;0000;0,40051;;;
150320;0000;0,358065;;;
150321;0000;0,288598;;;
150322;0000;0,290801;;;
150323;0000;0,421038;;;
150324;0000;0,298416;;;
150325;0000;0,363747;;;
150326;0000;0,18118;;;
150327;0000;0,31049;;;
150328;0000;0,230767;;;
150329;0000;0,20289;;;
150330;0000;0,258047;;;
150331;0000;0,287615;;;
150401;0000;0,311553;;;
150402;0000;0,406077;;;
150403;0000;0,165031;;;
150404;0000;0,273405;;;
150405;0000;0,151576;;;
150406;0000;0,345385;;;
150407;0000;0,273319;;;
150408;0000;0,339783;;;
150409;0000;0,341333;;;
150410;0000;0,419646;;;
150411;0000;0,343668;;;
150412;0000;0,443536;;;
150413;0000;0,453858;;;
150414;0000;0,489345;;;
150415;0000;0,307678;;;
150416;0000;0,260572;;;
150417;0000;0,499434;;;
150418;0000;0,290778;;;
150419;0000;0,60649;;;
150420;0000;0,634541;;;
150421;0000;0,659011;;;
150422;0000;0,636977;;;
150423;0000;0,469218;;;
150424;0000;0,572265;;;
150425;0000;0,545359;;;
150426;0000;0,73451;;;
150427;0000;0,64985;;;
150428;0000;0,706282;;;
150429;0000;0,644051;;;
150430;0000;0,588686;;;
150501;0000;0,550253;;;
150502;0000;0,291706;;;
150503;0000;0,240169;;;
150504;0000;0,433015;;;
150505;0000;0,664764;;;
150506;0000;0,495148;;;
150507;0000;0,447827;;;
150508;0000;0,647786;;;
150509;0000;0,660728;;;
150510;0000;0,545499;;;
150511;0000;0,907332;;;
150512;0000;0,823182;;;
150513;0000;0,773801;;;
150514;0000;0,70264;;;
150515;0000;0,732051;;;
150516;0000;0,712707;;;
150517;0000;0,716534;;;
150518;0000;0,763155;;;
150519;0000;0,582772;;;
150520;0000;0,670006;;;
150521;0000;0,747243;;;
150522;0000;0,632802;;;
150523;0000;0,377014;;;
150524;0000;0,415007;;;
150525;0000;1,18399;;;
150526;0000;1,2189;;;
150527;0000;1,13236;;;
150528;0000;1,07006;;;
150529;0000;0,480994;;;
150530;0000;0,666828;;;
150531;0000;0,653654;;;
150601;0000;0,777499;;;
150602;0000;0,872332;;;
150603;0000;0,945672;;;
150604;0000;0,527435;;;
150605;0000;0,20858;;;
150606;0000;0,100308;;;
150607;0000;0,120924;;;
150608;0000;0,148011;;;
150609;0000;0,187366;;;
150610;0000;0,112211;;;
150611;0000;0,666506;;;
150612;0000;0,258862;;;
150613;0000;;;;
150614;0000;0,126199;;;
150615;0000;0,333816;;;
150616;0000;0,264037;;;
150617;0000;0,239193;;;
150618;0000;0,44251;;;
150619;0000;0,322018;;;
150620;0000;0,258743;;;
150621;0000;0,386546;;;
150622;0000;0,227833;;;
150623;0000;0,552474;;;
150624;0000;0,704967;;;
150625;0000;0,666193;;;
150626;0000;0,759689;;;
150627;0000;0,494477;;;
150628;0000;0,331765;;;
150629;0000;0,513644;;;
150630;0000;0,795605;;;
150701;0000;0,765279;;;
150702;0000;0,527748;;;
150703;0000;0,188732;;;
150704;0000;;;;
150705;0000;;;;
150706;0000;;;;
150707;0000;;;;
150708;0000;;;;
150709;0000;;;;
150710;0000;;;;
150711;0000;1,03093;;;
150712;0000;;;;
150713;0000;0,448555;;;
150714;0000;0,678573;;;
150715;0000;0,959299;;;
150716;0000;0,825467;;;
150717;0000;0,818224;;;
150718;0000;0,669905;;;
150719;0000;0,780342;;;
150720;0000;0,74353;;;
150721;0000;1,08802;;;
150722;0000;1,09503;;;
150723;0000;0,974499;;;
150724;0000;0,858955;;;
150725;0000;0,940655;;;
150726;0000;0,758017;;;
150727;0000;0,959585;;;
150728;0000;1,05371;;;
150729;0000;0,99243;;;
150730;0000;0,676674;;;
150731;0000;0,769465;;;
150801;0000;1,13194;;;
150802;0000;0,92821;;;
150803;0000;0,977538;;;
150804;0000;0,657887;;;
150805;0000;0,414403;;;
150806;0000;0,495319;;;
150807;0000;0,7802;;;
150808;0000;0,481901;;;
150809;0000;0,383243;;;
150810;0000;0,49577;;;
150811;0000;0,80452;;;
150812;0000;0,825515;;;
150813;0000;0,838364;;;
150814;0000;0,695389;;;
150815;0000;0,855012;;;
150816;0000;0,682801;;;
150817;0000;0,638602;;;
150818;0000;0,892015;;;
150819;0000;0,769608;;;
150820;0000;0,611385;;;
150821;0000;0,485748;;;
150822;0000;0,490498;;;
150823;0000;0,876719;;;
150824;0000;0,836868;;;
150825;0000;0,628916;;;
150826;0000;0,615446;;;
150827;0000;0,757448;;;
150828;0000;0,68216;;;
150829;0000;0,593097;;;
150830;0000;0,628793;;;
150831;0000;0,600864;;;
150901;0000;0,56569;;;
150902;0000;0,528949;;;
150903;0000;0,578871;;;
150904;0000;0,641215;;;
150905;0000;0,613024;;;
150906;0000;0,35118;;;
150907;0000;0,377923;;;
150908;0000;0,601124;;;
150909;0000;0,678407;;;
150910;0000;0,782242;;;
150911;0000;0,5997;;;
150912;0000;0,504178;;;
150913;0000;0,396733;;;
150914;0000;0,63067;;;
150915;0000;0,727783;;;
150916;0000;0,670665;;;
150917;0000;0,399416;;;
150918;0000;0,454612;;;
150919;0000;0,576733;;;
150920;0000;0,662233;;;
150921;0000;0,427249;;;
150922;0000;0,496767;;;
150923;0000;0,508144;;;
150924;0000;0,348948;;;
150925;0000;0,589963;;;
150926;0000;0,674844;;;
150927;0000;0,75455;;;
150928;0000;0,737426;;;
150929;0000;0,649076;;;
150930;0000;0,539517;;;
151001;0000;0,309095;;;
151002;0000;0,531965;;;
151003;0000;0,654918;;;
151004;0000;0,420815;;;
151005;0000;0,523225;;;
151006;0000;0,458863;;;
151007;0000;0,415899;;;
151008;0000;0,561462;;;
151009;0000;0,522061;;;
151010;0000;0,393811;;;
151011;0000;0,48646;;;
151012;0000;0,347784;;;
151013;0000;0,339662;;;
151014;0000;0,278055;;;
151015;0000;0,425494;;;
151016;0000;0,716141;;;
151017;0000;0,76507;;;
151018;0000;0,57272;;;
151019;0000;0,388088;;;
151020;0000;0,489809;;;
151021;0000;0,492777;;;
151022;0000;0,541013;;;
151023;0000;0,554242;;;
151024;0000;0,376402;;;
151025;0000;0,289668;;;
151026;0000;0,457224;;;
151027;0000;;;;
151028;0000;0,243685;;;
151029;0000;;;;
151030;0000;0,439429;;;
151031;0000;;0,396946;;
151101;0000;0,37094;;;
151102;0000;0,432263;;;
151103;0000;0,340896;;;
151104;0000;0,405116;;;
151105;0000;0,386045;;;
151106;0000;0,52123;;;
151107;0000;0,507194;;;
151108;0000;0,440409;;;
151109;0000;0,303776;;;
151110;0000;0,349637;;;
151111;0000;0,264446;;;
151112;0000;0,462948;;;
151113;0000;0,364433;;;
151114;0000;0,404428;;;
151115;0000;0,366285;;;
151116;0000;0,40438;;;
151117;0000;0,28005;;;
151118;0000;0,307196;;;
151119;0000;0,223609;;;
151120;0000;0,329687;;;
151121;0000;0,301781;;;
151122;0000;0,322443;;;
151123;0000;0,331824;;;
151124;0000;0,295843;;;
151125;0000;0,342036;;;
151126;0000;0,259506;;;
151127;0000;0,403786;;;
151128;0000;0,352368;;;
151129;0000;0,312943;;;
151130;0000;;;;
151201;0000;0,465514;;;
151202;0000;0,408132;;;
151203;0000;0,479286;;;
151204;0000;0,440884;;;
151205;0000;;;;
151206;0000;;;;
151207;0000;;;;
151208;0000;;;;
151209;0000;0,302539;;;
151210;0000;0,322845;;;
151211;0000;0,389451;;;
151212;0000;0,386193;;;
151213;0000;0,343788;;;
151214;0000;0,295645;;;
151215;0000;0,378095;;;
151216;0000;0,321641;;;
151217;0000;0,371531;;;
151218;0000;0,315833;;;
151219;0000;0,333352;;;
151220;0000;0,332455;;;
151221;0000;0,273899;;;
151222;0000;0,354153;;;
151223;0000;0,388625;;;
151224;0000;0,494379;;;
151225;0000;0,343882;;;
151226;0000;0,360386;;;
151227;0000;0,375096;;;
151228;0000;0,469989;;;
151229;0000;0,441797;;;
151230;0000;0,408765;;;
151231;0000;0,332762;;;
160101;0000;0,357076;;;
160102;0000;0,363716;;;
160103;0000;0,303012;;;
160104;0000;0,432873;;;
160105;0000;0,501652;;;
160106;0000;0,530883;;;
160107;0000;0,462812;;;
160108;0000;0,356774;;;
160109;0000;0,43887;;;
160110;0000;0,327449;;;
160111;0000;0,332809;;;
160112;0000;0,358309;;;
160113;0000;0,460144;;;
160114;0000;0,42357;;;
160115;0000;0,461891;;;
160116;0000;0,421941;;;
160117;0000;0,389428;;;
160118;0000;0,389665;;;
160119;0000;0,45306;;;
160120;0000;0,382628;;;
160121;0000;0,44142;;;
160122;0000;0,410348;;;
160123;0000;0,303956;;;
160124;0000;0,193717;;;
160125;0000;0,427986;;;
160126;0000;0,356609;;;
160127;0000;0,453981;;;
160128;0000;0,460144;;;
160129;0000;0,295694;;;
160130;0000;0,284407;;;
160131;0000;0,340341;;;
160201;0000;0,432471;;;
160202;0000;0,419485;;;
160203;0000;0,463709;;;
160204;0000;0,409262;;;
160205;0000;0,463513;;;
160206;0000;0,307812;;;
160207;0000;0,126412;;;
160208;0000;0,105833;;;
160209;0000;0,125688;;;
160210;0000;0,112708;;;
160211;0000;0,105618;;;
160212;0000;0,104653;;;
160213;0000;0,101458;;;
160214;0000;0,101597;;;
160215;0000;0,101354;;;
160216;0000;0,100972;;;
160217;0000;0,102396;;;
160218;0000;0,106667;;;
160219;0000;0,100139;;;
160220;0000;0,100104;;;
160221;0000;0,100104;;;
160222;0000;0,100208;;;
160223;0000;0,100119;;;
160224;0000;0,1;;;
160225;0000;0,1;;;
160226;0000;;;0,101076;
160227;0000;0,1;;;
160228;0000;0,1;;;
160229;0000;;;0,10434;
160301;0000;0,106215;;;
160302;0000;0,112708;;;
160303;0000;0,112674;;;
160304;0000;0,103229;;;
160305;0000;0,10059;;;
160306;0000;0,1;;;
160307;0000;0,100114;;;
160308;0000;0,117847;;;
160309;0000;0,117569;;;
160310;0000;0,142917;;;
160311;0000;0,229618;;;
160312;0000;0,174201;;;
160313;0000;0,125671;;;
160314;0000;0,152708;;;
160315;0000;0,167153;;;
160316;0000;0,169653;;;
160317;0000;0,153438;;;
160318;0000;0,182778;;;
160319;0000;0,158194;;;
160320;0000;0,111146;;;
160321;0000;0,208611;;;
160322;0000;0,176493;;;
160323;0000;0,230833;;;
160324;0000;0,240104;;;
160325;0000;0,151389;;;
160326;0000;0,157257;;;
160327;0000;0,164826;;;
160328;0000;0,349062;;;
160329;0000;0,28493;;;
160330;0000;0,303715;;;
160331;0000;0,366284;;;
160401;0000;0,329722;;;
160402;0000;0,227916;;;
160403;0000;0,161493;;;
160404;0000;0,238889;;;
160405;0000;0,349236;;;
160406;0000;0,240347;;;
160407;0000;0,324375;;;
160408;0000;0,267916;;;
160409;0000;0,256076;;;
160410;0000;0,242882;;;
160411;0000;0,249236;;;
160412;0000;0,248483;;;
160413;0000;0,557128;;;
160414;0000;0,58072;;;
160415;0000;0,557326;;;
160416;0000;0,585866;;;
160417;0000;;;;
160418;0000;;;;
160419;0000;0,615598;;;
160420;0000;0,754887;;;
160421;0000;0,898085;;;
160422;0000;0,836786;;;
160423;0000;0,400562;;;
160424;0000;0,280943;;;
160425;0000;0,609709;;;
160426;0000;0,630166;;;
160427;0000;0,97729;;;
160428;0000;1,32766;;;
160429;0000;1,26767;;;
160430;0000;0,936305;;;
160501;0000;0,81261;;;
160502;0000;0,889978;;;
160503;0000;0,99553;;;
160504;0000;0,938379;;;
160505;0000;0,772363;;;
