FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;8,657;;;
150102;0000;12,6175;;;
150103;0000;14,427;;;
150104;0000;11,7744;;;
150105;0000;14,3114;;;
150106;0000;14,0004;;;
150107;0000;9,91093;;;
150108;0000;11,0915;;;
150109;0000;8,87109;;;
150110;0000;8,30225;;;
150111;0000;;;5,30555;
150112;0000;;;5,71643;
150113;0000;;;5,08333;
150114;0000;;;4,17939;
150115;0000;;;4,34259;
150116;0000;;;4,7743;
150117;0000;;;3,58333;
150118;0000;;;2,38857;
150119;0000;;;3,84375;
150120;0000;;;4,18055;
150121;0000;;;3,79514;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;67,6215;
150130;0000;;;46,7083;
150131;0000;;;30,7673;
150201;0000;;;21,5173;
150202;0000;;;23,1979;
150203;0000;;;21,2538;
150204;0000;24,3198;;;
150205;0000;22,2831;;;
150206;0000;22,534;;;
150207;0000;14,1384;;;
150208;0000;10,715;;;
150209;0000;18,4691;;;
150210;0000;18,4679;;;
150211;0000;16,6674;;;
150212;0000;18,6715;;;
150213;0000;19,1474;;;
150214;0000;16,8046;;;
150215;0000;13,2514;;;
150216;0000;19,9514;;;
150217;0000;20,3614;;;
150218;0000;20,832;;;
150219;0000;17,5314;;;
150220;0000;25,7948;;;
150221;0000;16,5285;;;
150222;0000;12,7897;;;
150223;0000;20,1856;;;
150224;0000;18,4813;;;
150225;0000;22,1626;;;
150226;0000;21,6162;;;
150227;0000;17,2693;;;
150228;0000;10,2906;;;
150301;0000;11,4751;;;
150302;0000;17,9923;;;
150303;0000;18,5737;;;
150304;0000;22,6452;;;
150305;0000;25,7446;;;
150306;0000;26,348;;;
150307;0000;22,419;;;
150308;0000;15,8177;;;
150309;0000;23,4059;;;
150310;0000;29,0275;;;
150311;0000;27,8917;;;
150312;0000;27,033;;;
150313;0000;25,3688;;;
150314;0000;20,7285;;;
150315;0000;17,6924;;;
150316;0000;29,6105;;;
150317;0000;30,3227;;;
150318;0000;33,4358;;;
150319;0000;28,3716;;;
