FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;1,65104;;;
150102;0000;2,15184;;;
150103;0000;1,93731;;;
150104;0000;1,16743;;;
150105;0000;3,17437;;;
150106;0000;2,89753;;;
150107;0000;2,94712;;;
150108;0000;3,37097;;;
150109;0000;1,88083;;;
150110;0000;1,35767;;;
150111;0000;;;2,65591;
150112;0000;;;6,195;
150113;0000;;;9,14166;
150114;0000;;;16,4871;
150115;0000;;;31,9713;
150116;0000;;;59,3058;
150117;0000;;;39,6779;
150118;0000;;;11,2879;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;7,25861;
150130;0000;;;6,47988;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;;;;
150204;0000;3,72174;;;
150205;0000;4,0076;;;
150206;0000;4,62536;;;
150207;0000;1,83529;;;
150208;0000;1,91703;;;
150209;0000;5,25605;;;
150210;0000;3,68915;;;
150211;0000;3,38652;;;
150212;0000;3,76922;;;
150213;0000;3,68064;;;
150214;0000;2,66264;;;
150215;0000;1,13185;;;
150216;0000;2,81245;;;
150217;0000;3,93329;;;
150218;0000;7,11102;;;
150219;0000;3,68103;;;
150220;0000;5,25232;;;
150221;0000;4,25875;;;
150222;0000;1,82615;;;
150223;0000;4,58804;;;
150224;0000;5,8871;;;
150225;0000;3,64231;;;
150226;0000;8,09135;;;
150227;0000;3,45611;;;
150228;0000;2,27305;;;
150301;0000;2,35931;;;
150302;0000;6,17064;;;
150303;0000;6,45778;;;
150304;0000;10,3613;;;
150305;0000;7,43488;;;
150306;0000;6,79024;;;
150307;0000;5,01752;;;
150308;0000;1,73036;;;
150309;0000;6,94338;;;
150310;0000;8,72263;;;
150311;0000;6,60888;;;
150312;0000;6,40085;;;
150313;0000;7,08531;;;
150314;0000;3,12387;;;
150315;0000;1,18826;;;
150316;0000;7,43958;;;
150317;0000;6,78814;;;
150318;0000;10,9866;;;
150319;0000;5,64662;;;
150320;0000;8,68915;;;
150321;0000;4,63513;;;
150322;0000;3,14511;;;
150323;0000;13,9798;;;
150324;0000;10,2173;;;
150325;0000;20,2416;;;
150326;0000;7,2136;;;
150327;0000;18,9452;;;
150328;0000;6,3297;;;
150329;0000;2,10365;;;
150330;0000;12,354;;;
150331;0000;12,5626;;;
150401;0000;13,4741;;;
150402;0000;10,542;;;
150403;0000;2,72092;;;
150404;0000;2,53972;;;
150405;0000;1,86412;;;
150406;0000;13,5387;;;
150407;0000;9,22449;;;
150408;0000;14,1406;;;
150409;0000;14,6128;;;
150410;0000;18,2118;;;
150411;0000;10,0444;;;
150412;0000;1,92598;;;
150413;0000;10,1024;;;
150414;0000;13,7146;;;
150415;0000;17,4335;;;
150416;0000;10,242;;;
150417;0000;23,9452;;;
150418;0000;8,11839;;;
150419;0000;12,0344;;;
150420;0000;28,4947;;;
150421;0000;25,0701;;;
150422;0000;28,8065;;;
150423;0000;23,9305;;;
150424;0000;21,833;;;
150425;0000;13,8263;;;
150426;0000;3,41616;;;
150427;0000;16,1511;;;
150428;0000;22,5831;;;
150429;0000;15,8528;;;
150430;0000;20,7017;;;
150501;0000;4,24825;;;
150502;0000;1,97962;;;
150503;0000;6,13175;;;
150504;0000;26,308;;;
