FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;10,308;;;
150102;0000;14,7694;;;
150103;0000;16,3643;;;
150104;0000;12,9419;;;
150105;0000;17,4858;;;
150106;0000;16,8979;;;
150107;0000;12,858;;;
150108;0000;14,4624;;;
150109;0000;10,7519;;;
150110;0000;9,65993;;;
150111;0000;;;8,58563;
150112;0000;;;13,0021;
150113;0000;;;15,4352;
150114;0000;;;22,0121;
150115;0000;;;37,7158;
150116;0000;;;65,0858;
150117;0000;;;43,9917;
150118;0000;;;14,5604;
150119;0000;;;5,71333;
150120;0000;;;5,75938;
150121;0000;;;4,92709;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;74,7244;
150130;0000;;;52,9865;
150131;0000;;;34,4078;
150201;0000;;;21,6775;
150202;0000;;;26,0891;
150203;0000;;;50,3134;
150204;0000;28,0416;;;
150205;0000;26,2907;;;
150206;0000;27,1594;;;
150207;0000;15,9737;;;
150208;0000;12,629;;;
150209;0000;23,7252;;;
150210;0000;22,1571;;;
150211;0000;20,054;;;
150212;0000;22,4407;;;
150213;0000;22,828;;;
150214;0000;19,4673;;;
150215;0000;14,3832;;;
150216;0000;22,7639;;;
150217;0000;24,2947;;;
150218;0000;27,943;;;
150219;0000;21,2124;;;
150220;0000;31,0471;;;
150221;0000;20,7873;;;
150222;0000;14,6158;;;
150223;0000;24,7737;;;
150224;0000;24,3684;;;
150225;0000;25,8049;;;
150226;0000;29,7076;;;
150227;0000;20,7254;;;
150228;0000;12,5637;;;
150301;0000;13,8344;;;
150302;0000;24,1629;;;
150303;0000;25,0315;;;
150304;0000;33,0064;;;
150305;0000;33,1795;;;
150306;0000;33,1382;;;
150307;0000;27,4366;;;
150308;0000;17,548;;;
150309;0000;30,3493;;;
150310;0000;37,7502;;;
150311;0000;34,5006;;;
150312;0000;33,4338;;;
150313;0000;32,4541;;;
150314;0000;23,8524;;;
150315;0000;18,8806;;;
150316;0000;37,0501;;;
150317;0000;37,1108;;;
150318;0000;44,4224;;;
150319;0000;34,0182;;;
150320;0000;35,3531;;;
150321;0000;22,5393;;;
150322;0000;16,0734;;;
150323;0000;35,9524;;;
150324;0000;30,4443;;;
150325;0000;39,9479;;;
150326;0000;19,4019;;;
150327;0000;44,4372;;;
150328;0000;27,6531;;;
150329;0000;19,1637;;;
150330;0000;34,9475;;;
150331;0000;43,1837;;;
150401;0000;46,1595;;;
150402;0000;42,6647;;;
150403;0000;19,9039;;;
150404;0000;17,6374;;;
150405;0000;18,6549;;;
150406;0000;40,9826;;;
150407;0000;31,5512;;;
150408;0000;41,4799;;;
150409;0000;45,4296;;;
150410;0000;55,4315;;;
150411;0000;41,2782;;;
150412;0000;23,8513;;;
150413;0000;38,9212;;;
150414;0000;44,427;;;
150415;0000;46,0632;;;
150416;0000;35,6098;;;
150417;0000;63,081;;;
150418;0000;37,4981;;;
150419;0000;42,6016;;;
150420;0000;67,3768;;;
150421;0000;67,8912;;;
150422;0000;72,6339;;;
150423;0000;66,326;;;
150424;0000;67,5659;;;
150425;0000;46,722;;;
150426;0000;34,1637;;;
150427;0000;60,629;;;
150428;0000;68,9099;;;
150429;0000;61,8813;;;
150430;0000;61,3734;;;
150501;0000;26,6218;;;
150502;0000;15,3975;;;
150503;0000;25,5423;;;
150504;0000;63,1256;;;
150505;0000;78,7347;;;
150506;0000;80,8789;;;
150507;0000;69,2386;;;
150508;0000;76,9331;;;
150509;0000;60,2745;;;
150510;0000;43,4324;;;
150511;0000;106,474;;;
150512;0000;94,9056;;;
150513;0000;99,0653;;;
150514;0000;89,4926;;;
150515;0000;76,2168;;;
150516;0000;65,719;;;
150517;0000;40,7942;;;
150518;0000;65,2489;;;
150519;0000;58,2593;;;
150520;0000;64,4769;;;
150521;0000;58,5684;;;
150522;0000;69,3387;;;
150523;0000;44,7689;;;
150524;0000;44,1728;;;
150525;0000;151,751;;;
150526;0000;153,149;;;
150527;0000;135,031;;;
150528;0000;140,642;;;
150529;0000;59,197;;;
150530;0000;57,9178;;;
150531;0000;54,5686;;;
150601;0000;103,421;;;
150602;0000;119,646;;;
150603;0000;116,41;;;
150604;0000;127,579;;;
150605;0000;90,9188;;;
150606;0000;39,2464;;;
150607;0000;44,4303;;;
150608;0000;70,9954;;;
150609;0000;95,512;;;
150610;0000;60,5172;;;
150611;0000;95,3715;;;
150612;0000;94,0667;;;
150613;0000;58,1861;;;
150614;0000;44,9153;;;
150615;0000;103,352;;;
150616;0000;104,568;;;
150617;0000;105,783;;;
150618;0000;94,826;;;
150619;0000;96,681;;;
150620;0000;75,8724;;;
150621;0000;74,3831;;;
150622;0000;90,0389;;;
150623;0000;122,863;;;
150624;0000;115,157;;;
150625;0000;;;85,1794;
150626;0000;;;124,37;
150627;0000;;;91,7825;
150628;0000;;;58,4144;
150629;0000;;;51,2006;
150630;0000;;;119,475;
150701;0000;135,54;;;
150702;0000;111,204;;;
150703;0000;82,0509;;;
150704;0000;57,5458;;;
150705;0000;42,6211;;;
150706;0000;106,583;;;
150707;0000;106,998;;;
150708;0000;152,153;;;
150709;0000;125,106;;;
150710;0000;140,721;;;
150711;0000;90,174;;;
150712;0000;;;;
150713;0000;36,0869;;;
150714;0000;67,8022;;;
150715;0000;127,955;;;
150716;0000;77,2784;;;
150717;0000;86,2996;;;
150718;0000;55,1963;;;
150719;0000;43,5437;;;
150720;0000;67,7041;;;
150721;0000;123,84;;;
150722;0000;126,344;;;
150723;0000;105,984;;;
150724;0000;95,8652;;;
150725;0000;85,2677;;;
150726;0000;50,9613;;;
150727;0000;81,5455;;;
150728;0000;105,621;;;
150729;0000;95,5469;;;
150730;0000;57,8437;;;
150731;0000;83,2374;;;
150801;0000;108,551;;;
150802;0000;72,5081;;;
150803;0000;120,452;;;
150804;0000;68,6335;;;
150805;0000;32,904;;;
150806;0000;30,1367;;;
150807;0000;65,0685;;;
150808;0000;38,7769;;;
150809;0000;23,4802;;;
150810;0000;33,1073;;;
150811;0000;64,5573;;;
150812;0000;57,8319;;;
150813;0000;72,8333;;;
150814;0000;51,7198;;;
150815;0000;60,3433;;;
150816;0000;33,1773;;;
150817;0000;48,4989;;;
150818;0000;73,7466;;;
150819;0000;68,4579;;;
150820;0000;45,2258;;;
150821;0000;36,4303;;;
150822;0000;29,3039;;;
150823;0000;51,0057;;;
150824;0000;74,4418;;;
150825;0000;44,9787;;;
150826;0000;52,979;;;
150827;0000;92,6486;;;
150828;0000;68,2847;;;
150829;0000;44,4488;;;
150830;0000;29,0916;;;
150831;0000;49,9901;;;
150901;0000;54,2858;;;
150902;0000;48,3898;;;
150903;0000;49,8419;;;
150904;0000;52,0721;;;
150905;0000;33,5083;;;
150906;0000;10,5562;;;
150907;0000;23,5514;;;
150908;0000;59,6374;;;
150909;0000;57,5768;;;
150910;0000;62,665;;;
150911;0000;47,1251;;;
150912;0000;35,0375;;;
150913;0000;23,2524;;;
150914;0000;58,2874;;;
150915;0000;68,7913;;;
150916;0000;48,8227;;;
150917;0000;19,6115;;;
150918;0000;13,2492;;;
150919;0000;22,8585;;;
150920;0000;26,5813;;;
150921;0000;20,9623;;;
150922;0000;25,5586;;;
150923;0000;30,1237;;;
150924;0000;19,7349;;;
150925;0000;44,6018;;;
150926;0000;44,8058;;;
150927;0000;40,5777;;;
150928;0000;43,7262;;;
150929;0000;39,6144;;;
150930;0000;30,8912;;;
151001;0000;19,5267;;;
151002;0000;35,6841;;;
151003;0000;36,9428;;;
151004;0000;18,3326;;;
151005;0000;35,1277;;;
151006;0000;25,0948;;;
151007;0000;23,498;;;
151008;0000;47,3956;;;
151009;0000;34,1133;;;
151010;0000;22,97;;;
151011;0000;16,9387;;;
151012;0000;16,7465;;;
151013;0000;19,2041;;;
151014;0000;17,1012;;;
151015;0000;28,9563;;;
151016;0000;56,4621;;;
151017;0000;45,9067;;;
151018;0000;20,6045;;;
151019;0000;15,5661;;;
151020;0000;26,4698;;;
151021;0000;31,6339;;;
151022;0000;31,3124;;;
151023;0000;31,5876;;;
151024;0000;20,2818;;;
151025;0000;16,9446;;;
151026;0000;24,7318;;;
151027;0000;28,6372;;;
151028;0000;28,0903;;;
151029;0000;23,5525;;;
151030;0000;25,7874;;;
151031;0000;21,0019;;;
151101;0000;14,3026;;;
151102;0000;;;30,6635;
151103;0000;;;25,0972;
151104;0000;;;23,0579;
151105;0000;;;28,5744;
151106;0000;;;31,8167;
151107;0000;;;28,4996;
151108;0000;;;22,3425;
151109;0000;;;21,1218;
151110;0000;;;20,716;
151111;0000;;;16,1534;
151112;0000;;;48,9133;
151113;0000;19,6437;;;
151114;0000;15,0518;;;
151115;0000;;;;
151116;0000;;;16,3257;
151117;0000;;;;
151118;0000;10,1775;;;
151119;0000;;;48,1549;
151120;0000;23,1892;;;
151121;0000;13,3019;;;
151122;0000;10,0646;;;
151123;0000;12,1648;;;
151124;0000;15,0805;;;
151125;0000;10,6108;;;
151126;0000;11,1178;;;
151127;0000;17,2484;;;
151128;0000;;;18,1792;
