FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;24,9923;;;
150102;0000;29,0614;;;
150103;0000;33,4355;;;
150104;0000;38,368;;;
150105;0000;27,778;;;
150106;0000;26,8238;;;
150107;0000;28,3468;;;
150108;0000;30,7437;;;
150109;0000;38,3125;;;
150110;0000;35,9954;;;
150111;0000;35,6277;;;
150112;0000;32,3776;;;
150113;0000;32,5544;;;
150114;0000;34,9999;;;
150115;0000;32,8146;;;
150116;0000;32,6541;;;
150117;0000;35,3572;;;
150118;0000;28,2563;;;
150119;0000;17,3542;;;
150120;0000;27,1652;;;
150121;0000;25,9077;;;
150122;0000;26,1791;;;
150123;0000;27,5344;;;
150124;0000;30,938;;;
150125;0000;27,2646;;;
150126;0000;23,3216;;;
150127;0000;24,1496;;;
150128;0000;27,8369;;;
150129;0000;28,0482;;;
150130;0000;28,6723;;;
150131;0000;32,6138;;;
150201;0000;34,3235;;;
150202;0000;31,1149;;;
150203;0000;29,658;;;
150204;0000;30,1298;;;
150205;0000;27,8888;;;
150206;0000;30,126;;;
150207;0000;29,9008;;;
150208;0000;21,6869;;;
150209;0000;16,012;;;
150210;0000;26,5493;;;
150211;0000;29,3805;;;
150212;0000;28,8637;;;
150213;0000;32,7938;;;
150214;0000;35,3329;;;
150215;0000;34,1986;;;
150216;0000;34,1188;;;
150217;0000;32,8354;;;
150218;0000;23,8097;;;
150219;0000;30,2234;;;
150220;0000;16,7057;;;
150221;0000;23,9963;;;
150222;0000;23,8965;;;
150223;0000;22,4186;;;
150224;0000;14,6821;;;
150225;0000;25,6481;;;
150226;0000;21,0764;;;
150227;0000;25,1831;;;
150228;0000;21,3122;;;
150301;0000;21,3608;;;
150302;0000;17,622;;;
150303;0000;21,5176;;;
150304;0000;24,9075;;;
150305;0000;27,0968;;;
150306;0000;25,3657;;;
150307;0000;25,903;;;
150308;0000;29,6719;;;
150309;0000;25,4951;;;
150310;0000;30,813;;;
150311;0000;34,5589;;;
150312;0000;29,8694;;;
150313;0000;28,4017;;;
150314;0000;29,5886;;;
150315;0000;38,989;;;
150316;0000;32,2457;;;
150317;0000;31,2951;;;
150318;0000;33,1511;;;
150319;0000;32,6826;;;
150320;0000;27,0909;;;
150321;0000;24,8399;;;
150322;0000;17,3575;;;
150323;0000;6,98359;;;
150324;0000;4,97321;;;
150325;0000;7,5323;;;
150326;0000;15,926;;;
150327;0000;15,6938;;;
150328;0000;23,879;;;
150329;0000;28,9851;;;
150330;0000;16,2751;;;
150331;0000;16,4371;;;
150401;0000;22,7847;;;
150402;0000;22,4383;;;
150403;0000;23,9502;;;
150404;0000;21,6858;;;
150405;0000;26,4008;;;
150406;0000;21,4333;;;
150407;0000;9,96811;;;
150408;0000;17,7961;;;
150409;0000;18,743;;;
150410;0000;17,2303;;;
150411;0000;22,675;;;
150412;0000;31,6699;;;
150413;0000;23,9073;;;
150414;0000;17,524;;;
150415;0000;7,44446;;;
150416;0000;11,8545;;;
150417;0000;9,27971;;;
150418;0000;20,9433;;;
150419;0000;7,34339;;;
150420;0000;4,369;;;
150421;0000;11,025;;;
150422;0000;13,3551;;;
150423;0000;16,3223;;;
150424;0000;16,8147;;;
150425;0000;20,5159;;;
150426;0000;21,6668;;;
150427;0000;21,297;;;
150428;0000;18,124;;;
150429;0000;15,9574;;;
150430;0000;16,6225;;;
150501;0000;11,7688;;;
150502;0000;18,0447;;;
150503;0000;12,2924;;;
150504;0000;9,06905;;;
150505;0000;7,61921;;;
150506;0000;8,15283;;;
150507;0000;10,3563;;;
150508;0000;2,89872;;;
150509;0000;8,08862;;;
150510;0000;12,5524;;;
150511;0000;7,28068;;;
150512;0000;3,36299;;;
150513;0000;7,08662;;;
150514;0000;7,33562;;;
150515;0000;8,87602;;;
150516;0000;13,8035;;;
150517;0000;20,247;;;
150518;0000;11,6369;;;
150519;0000;8,45462;;;
150520;0000;4,70415;;;
150521;0000;7,32362;;;
150522;0000;4,88583;;;
150523;0000;6,11678;;;
150524;0000;11,1899;;;
150525;0000;3,74096;;;
150526;0000;3,42212;;;
150527;0000;4,53053;;;
150528;0000;2,81921;;;
150529;0000;8,68027;;;
150530;0000;5,31718;;;
150531;0000;5,02374;;;
150601;0000;2,72059;;;
150602;0000;3,01656;;;
150603;0000;2,51298;;;
150604;0000;1,70266;;;
150605;0000;4,45412;;;
150606;0000;6,68378;;;
150607;0000;7,4799;;;
150608;0000;4,91405;;;
150609;0000;2,10278;;;
150610;0000;4,96703;;;
150611;0000;3,39124;;;
150612;0000;4,06168;;;
150613;0000;7,09074;;;
150614;0000;8,09978;;;
150615;0000;4,26315;;;
150616;0000;3,82356;;;
150617;0000;3,7704;;;
150618;0000;3,33381;;;
150619;0000;4,5054;;;
150620;0000;5,05806;;;
150621;0000;2,89215;;;
150622;0000;3,52159;;;
150623;0000;3,67403;;;
150624;0000;3,05631;;;
150625;0000;5,68366;;;
150626;0000;3,54531;;;
150627;0000;4,7634;;;
150628;0000;9,38004;;;
150629;0000;9,29913;;;
150630;0000;3,34921;;;
150701;0000;;2,15593;;
150702;0000;;3,55327;;
150703;0000;;3,99633;;
150704;0000;;10,0959;;
150705;0000;;6,77489;;
150706;0000;;1,75759;;
150707;0000;;3,85899;;
150708;0000;;1,59128;;
150709;0000;;1,59934;;
150710;0000;;1,00506;;
150711;0000;;1,05429;;
150712;0000;;;;
150713;0000;;7,70599;;
150714;0000;;3,96371;;
150715;0000;;2,65752;;
150716;0000;;6,37843;;
150717;0000;;;;
150718;0000;;;;
150719;0000;;;;
150720;0000;;;;
150721;0000;;;;
150722;0000;;;;
150723;0000;;;;
150724;0000;;;;
150725;0000;;;;
150726;0000;;;;
150727;0000;;;;
150728;0000;;;;
150729;0000;;;;
150730;0000;;;;
150731;0000;;;;
150801;0000;;;;
150802;0000;;;;
150803;0000;;;;
150804;0000;;;;
150805;0000;;;;
150806;0000;;;;
150807;0000;;;;
150808;0000;;;;
150809;0000;;;;
150810;0000;;;;
150811;0000;;;;
150812;0000;;;;
150813;0000;;;;
150814;0000;;;;
150815;0000;;;;
150816;0000;;;;
150817;0000;;;;
150818;0000;;;;
150819;0000;;;;
150820;0000;;;;
150821;0000;;;;
150822;0000;;;;
150823;0000;;;;
150824;0000;;;;
150825;0000;;;;
150826;0000;;5,35577;;
150827;0000;;2,609;;
150828;0000;;6,96922;;
150829;0000;;12,2062;;
150830;0000;;17,7073;;
150831;0000;;12,0196;;
150901;0000;10,8938;;;
150902;0000;13,8214;;;
