FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;;;;
150102;0000;;;;
150103;0000;;;;
150104;0000;;;;
150105;0000;;;;
150106;0000;;;;
150107;0000;;;;
150108;0000;;;;
150109;0000;;;;
150110;0000;;;;
150111;0000;;;;
150112;0000;;;;
150113;0000;;;;
150114;0000;;;;
150115;0000;;;;
150116;0000;;;;
150117;0000;;;;
150118;0000;;;;
150119;0000;;;;
150120;0000;;;;
150121;0000;;;;
150122;0000;;;;
150123;0000;;;;
150124;0000;;;;
150125;0000;;;;
150126;0000;;;;
150127;0000;;;;
150128;0000;;;;
150129;0000;;;;
150130;0000;;;;
150131;0000;;;;
150201;0000;;;;
150202;0000;;;;
150203;0000;;;;
150204;0000;;;;
150205;0000;;;;
150206;0000;;;;
150207;0000;;;;
150208;0000;;;;
150209;0000;;;;
150210;0000;;;;
150211;0000;;;;
150212;0000;;;;
150213;0000;;;;
150214;0000;;;;
150215;0000;;;;
150216;0000;;;;
150217;0000;;;;
150218;0000;;;;
150219;0000;;;;
150220;0000;;;;
150221;0000;;;;
150222;0000;;;;
150223;0000;;;;
150224;0000;;;;
150225;0000;;;;
150226;0000;;;;
150227;0000;;;;
150228;0000;;;;
150301;0000;;;;
150302;0000;;;;
150303;0000;;;;
150304;0000;;;;
150305;0000;;;;
150306;0000;;;;
150307;0000;;;;
150308;0000;;;;
150309;0000;;;;
150310;0000;;;;
150311;0000;;;;
150312;0000;;;;
150313;0000;;;;
150314;0000;;;;
150315;0000;;;;
150316;0000;;;;
150317;0000;;;;
150318;0000;;;;
150319;0000;;;;
150320;0000;;;;
150321;0000;;;;
150322;0000;;;;
150323;0000;;;;
150324;0000;;;;
150325;0000;;;;
150326;0000;;;;
150327;0000;;;;
150328;0000;;;;
150329;0000;;;;
150330;0000;;;;
150331;0000;;;;
150401;0000;;;;
150402;0000;;;;
150403;0000;;;;
150404;0000;;;;
150405;0000;;;;
150406;0000;;;;
150407;0000;;;;
150408;0000;;;;
150409;0000;;;;
150410;0000;;;;
150411;0000;;;;
150412;0000;;;;
150413;0000;;;;
150414;0000;;;;
150415;0000;;;;
150416;0000;;;;
150417;0000;;;;
150418;0000;;;;
150419;0000;;;;
150420;0000;;;;
150421;0000;;;;
150422;0000;;;;
150423;0000;;;;
150424;0000;;;;
150425;0000;;;;
150426;0000;;;;
150427;0000;;;;
150428;0000;;;;
150429;0000;;;;
150430;0000;;;;
150501;0000;;;;
150502;0000;;;;
150503;0000;;;;
150504;0000;;;;
150505;0000;;;;
150506;0000;;;;
150507;0000;;;;
150508;0000;;;;
150509;0000;;;;
150510;0000;;;;
150511;0000;;;;
150512;0000;;;;
150513;0000;;;;
150514;0000;;;;
150515;0000;;;;
150516;0000;;;;
150517;0000;;;;
150518;0000;;;;
150519;0000;;;;
150520;0000;;;;
150521;0000;;;;
150522;0000;;;;
150523;0000;;;;
150524;0000;;;;
150525;0000;;;;
150526;0000;;;;
150527;0000;;;;
150528;0000;;;;
150529;0000;;;;
150530;0000;;;;
150531;0000;;;;
150601;0000;;;;
150602;0000;;;;
150603;0000;;;;
150604;0000;;;;
150605;0000;;;;
150606;0000;;;;
150607;0000;;;;
150608;0000;;;;
150609;0000;;;;
150610;0000;;;;
150611;0000;;;;
150612;0000;;;;
150613;0000;;;;
150614;0000;;;;
150615;0000;;;;
150616;0000;;;;
150617;0000;;;;
150618;0000;;;;
150619;0000;;;;
150620;0000;;;;
150621;0000;;;;
150622;0000;;;;
150623;0000;;;;
150624;0000;;;;
150625;0000;;;;
150626;0000;;;;
150627;0000;;;;
150628;0000;;;;
150629;0000;;;;
150630;0000;;;;
150701;0000;;;;
150702;0000;;;;
150703;0000;;;;
150704;0000;;;;
150705;0000;;;;
150706;0000;;;;
150707;0000;;;;
150708;0000;;;;
150709;0000;;;;
150710;0000;;;;
150711;0000;;;;
150712;0000;;;;
150713;0000;;;;
150714;0000;;;;
150715;0000;;;;
150716;0000;;;;
150717;0000;;;;
150718;0000;;;;
150719;0000;;;;
150720;0000;;;;
150721;0000;;;;
150722;0000;;;;
150723;0000;;;;
150724;0000;;;;
150725;0000;;;;
150726;0000;;;;
150727;0000;;;;
150728;0000;;;;
150729;0000;;;;
150730;0000;;;;
150731;0000;;;;
150801;0000;;;;
150802;0000;;;;
150803;0000;;;;
150804;0000;;;;
150805;0000;;;;
150806;0000;;;;
150807;0000;;;;
150808;0000;;;;
150809;0000;;;;
150810;0000;;;;
150811;0000;;;;
150812;0000;;;;
150813;0000;;;;
150814;0000;;;;
150815;0000;;;;
150816;0000;;;;
150817;0000;;;;
150818;0000;;;;
150819;0000;;;;
150820;0000;;;;
150821;0000;;;;
150822;0000;;;;
150823;0000;;;;
150824;0000;;;;
150825;0000;;;;
150826;0000;;;;
150827;0000;;;;
150828;0000;;;;
150829;0000;;;;
150830;0000;;;;
150831;0000;;;;
150901;0000;;;;
150902;0000;;;;
150903;0000;;;;
150904;0000;;;;
150905;0000;;;;
150906;0000;;;;
150907;0000;;;;
150908;0000;;;;
150909;0000;;;;
150910;0000;;;;
150911;0000;;;;
150912;0000;;;;
150913;0000;;;;
150914;0000;;;;
150915;0000;;;;
150916;0000;;;;
150917;0000;;;;
150918;0000;;;;
150919;0000;;;;
150920;0000;;;;
150921;0000;;;;
150922;0000;;;;
150923;0000;;;;
150924;0000;;;;
150925;0000;;;;
150926;0000;;;;
150927;0000;;;;
150928;0000;;;;
150929;0000;;;;
150930;0000;;;;
151001;0000;;;;
151002;0000;;;;
151003;0000;;;;
151004;0000;;;;
151005;0000;;;;
151006;0000;;;;
151007;0000;;;;
151008;0000;;;;
151009;0000;;;;
151010;0000;;;;
151011;0000;;;;
151012;0000;;;;
151013;0000;;;;
151014;0000;;;;
151015;0000;;;;
151016;0000;;;;
151017;0000;;;;
151018;0000;;;;
151019;0000;;;;
151020;0000;;;;
151021;0000;;;;
151022;0000;;;;
151023;0000;;;;
151024;0000;;;;
151025;0000;;;;
151026;0000;;;;
151027;0000;;;;
151028;0000;;;;
151029;0000;;;;
151030;0000;;;;
151031;0000;;;;
151101;0000;;;;
151102;0000;;;;
151103;0000;;;;
151104;0000;;;;
151105;0000;;;;
151106;0000;;;;
151107;0000;;;;
151108;0000;;;;
151109;0000;;;;
151110;0000;;;;
151111;0000;;;;
151112;0000;;;;
151113;0000;;;;
151114;0000;;;;
151115;0000;;;;
151116;0000;;;;
151117;0000;;;;
151118;0000;;;;
151119;0000;;;;
151120;0000;;;;
151121;0000;;;;
151122;0000;;;;
151123;0000;;;;
151124;0000;;;;
151125;0000;;;;
151126;0000;;;;
151127;0000;;;;
151128;0000;;;;
151129;0000;;;;
151130;0000;;;;
151201;0000;;;;
151202;0000;;;;
151203;0000;;;;
151204;0000;;;;
151205;0000;;;;
151206;0000;;;;
151207;0000;;;;
151208;0000;;;;
151209;0000;;;;
151210;0000;;;;
151211;0000;;;;
151212;0000;;;;
151213;0000;;;;
151214;0000;;;;
151215;0000;;;;
151216;0000;;;;
151217;0000;;;;
151218;0000;;;;
151219;0000;;;;
151220;0000;;;;
151221;0000;;;;
151222;0000;;;;
151223;0000;;;;
151224;0000;;;;
151225;0000;;;;
151226;0000;;;;
151227;0000;;;;
151228;0000;;;;
151229;0000;;;;
151230;0000;;;;
151231;0000;;;;
160101;0000;;;;
160102;0000;;;;
160103;0000;;;;
160104;0000;;;;
160105;0000;;;;
160106;0000;;;;
160107;0000;;;;
160108;0000;;;;
160109;0000;;;;
160110;0000;;;;
160111;0000;;;;
