FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;28,8125;;;
150102;0000;39,7291;;;
150103;0000;41,7916;;;
150104;0000;42,4375;;;
150105;0000;49,6666;;;
150106;0000;59;;;
150107;0000;53,7916;;;
150108;0000;54,4791;;;
150109;0000;56,8958;;;
150110;0000;52,7083;;;
150111;0000;46,6458;;;
150112;0000;63,6458;;;
150113;0000;70,9583;;;
150114;0000;62,5;;;
150115;0000;63,9583;;;
150116;0000;63,9791;;;
150117;0000;64,7083;;;
150118;0000;46,9166;;;
150119;0000;46,3541;;;
150120;0000;48,8541;;;
150121;0000;48,1666;;;
150122;0000;56,0208;;;
150123;0000;58,9375;;;
150124;0000;48,8333;;;
150125;0000;37,5416;;;
150126;0000;39,6875;;;
150127;0000;46,875;;;
150128;0000;50,4166;;;
150129;0000;65,9583;;;
150130;0000;65,1666;;;
150131;0000;54,1875;;;
150201;0000;43,7291;;;
150202;0000;49,375;;;
150203;0000;60,6666;;;
150204;0000;60,3541;;;
150205;0000;65,1041;;;
150206;0000;59,0625;;;
150207;0000;42,7708;;;
150208;0000;27,0625;;;
150209;0000;49,6041;;;
150210;0000;53,2083;;;
150211;0000;56,5833;;;
150212;0000;49,3125;;;
150213;0000;54,1086;;;
150214;0000;63,75;;;
150215;0000;56,7708;;;
150216;0000;67,0833;;;
150217;0000;68,8333;;;
150218;0000;69,8958;;;
150219;0000;79,375;;;
150220;0000;77,0625;;;
150221;0000;43,4166;;;
150222;0000;34,875;;;
150223;0000;43,25;;;
150224;0000;47,2916;;;
150225;0000;50,9791;;;
150226;0000;48,6875;;;
150227;0000;41,625;;;
150228;0000;29,3182;;;
150301;0000;26,1956;;;
150302;0000;36,5652;;;
150303;0000;33,7222;;;
150304;0000;52,4166;;;
150305;0000;58,9583;;;
150306;0000;65,6521;;;
150307;0000;53,0625;;;
150308;0000;37,7708;;;
150309;0000;53,5652;;;
150310;0000;66,3333;;;
150311;0000;87,875;;;
150312;0000;86,7083;;;
150313;0000;84,9166;;;
150314;0000;61,6666;;;
150315;0000;48,5;;;
150316;0000;96,0833;;;
150317;0000;92,0208;;;
150318;0000;82,3541;;;
150319;0000;76,8958;;;
150320;0000;81,6666;;;
150321;0000;57,0833;;;
150322;0000;43,9583;;;
150323;0000;67,1458;;;
150324;0000;36,5;;;
150325;0000;40,0833;;;
150326;0000;20,8542;;;
150327;0000;45,8333;;;
150328;0000;39,1458;;;
150329;0000;39,1458;;;
150330;0000;59,8333;;;
150331;0000;59,5208;;;
150401;0000;63,5;;;
150402;0000;63,2291;;;
150403;0000;40,7708;;;
150404;0000;33,6041;;;
150405;0000;30,4583;;;
150406;0000;62,1666;;;
150407;0000;45,9791;;;
150408;0000;56,4791;;;
150409;0000;;62,3055;;
150410;0000;79,9583;;;
150411;0000;67,75;;;
150412;0000;58,8541;;;
150413;0000;85,4166;;;
150414;0000;76,1458;;;
150415;0000;60,5;;;
150416;0000;56,6458;;;
150417;0000;86,875;;;
150418;0000;84,3125;;;
