FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
150101;0000;16,1667;;;
150102;0000;16,875;;;
150103;0000;20,0833;;;
150104;0000;20,0833;;;
150105;0000;19,5417;;;
150106;0000;20,7917;;;
150107;0000;22;;;
150108;0000;21,7917;;;
150109;0000;18,75;;;
150110;0000;20,5;;;
150111;0000;21,3333;;;
150112;0000;25,25;;;
150113;0000;30,0417;;;
150114;0000;26,3333;;;
150115;0000;25,2083;;;
150116;0000;28,5833;;;
150117;0000;30;;;
150118;0000;27,4583;;;
150119;0000;24,6667;;;
150120;0000;23,2917;;;
150121;0000;22,7917;;;
150122;0000;24,4167;;;
150123;0000;22,2917;;;
150124;0000;18,5417;;;
150125;0000;15,5833;;;
150126;0000;14,0417;;;
150127;0000;15;;;
150128;0000;17,2917;;;
150129;0000;20,25;;;
150130;0000;22,8333;;;
150131;0000;22,3333;;;
150201;0000;18,875;;;
150202;0000;18,9583;;;
150203;0000;21,9167;;;
150204;0000;23,5;;;
150205;0000;22,5417;;;
150206;0000;22,9583;;;
150207;0000;16,4583;;;
150208;0000;10,9167;;;
150209;0000;17,0833;;;
150210;0000;18,125;;;
150211;0000;17,8333;;;
150212;0000;18,5833;;;
150213;0000;20,2917;;;
150214;0000;25,4167;;;
150215;0000;25,2083;;;
150216;0000;30,5417;;;
150217;0000;28,25;;;
150218;0000;23,4167;;;
150219;0000;31,2083;;;
150220;0000;40,3333;;;
150221;0000;24,4583;;;
150222;0000;19,3333;;;
150223;0000;19,0833;;;
150224;0000;28,3913;;;
150225;0000;29,25;;;
150226;0000;23,375;;;
150227;0000;19,9167;;;
150228;0000;15,3333;;;
150301;0000;13,8333;;;
150302;0000;14,5833;;;
150303;0000;18,0909;;;
150304;0000;20,4167;;;
150305;0000;21,7083;;;
150306;0000;;;15,1364;
150307;0000;;;3,08333;
150308;0000;;;2,66666;
150309;0000;;;9,08694;
150310;0000;19,875;;;
150311;0000;26,0417;;;
150312;0000;33,4583;;;
150313;0000;33,7916;;;
150314;0000;22,5;;;
150315;0000;17,9583;;;
150316;0000;36,3333;;;
150317;0000;33,75;;;
150318;0000;23,5;;;
150319;0000;22,25;;;
150320;0000;17,1667;;;
150321;0000;15,4583;;;
150322;0000;16,9583;;;
150323;0000;22,9583;;;
150324;0000;16,1667;;;
150325;0000;15,4583;;;
150326;0000;4,66666;;;
150327;0000;12,9167;;;
150328;0000;16,125;;;
150329;0000;18,4167;;;
150330;0000;19,375;;;
150331;0000;18,2917;;;
150401;0000;17,9583;;;
150402;0000;22,1667;;;
150403;0000;15,875;;;
150404;0000;13,75;;;
150405;0000;12,9583;;;
150406;0000;15,0417;;;
150407;0000;20,8333;;;
150408;0000;26,0417;;;
150409;0000;19,913;;;
150410;0000;18,5833;;;
150411;0000;21,3333;;;
150412;0000;22,7917;;;
150413;0000;31,2083;;;
150414;0000;34,0833;;;
150415;0000;19,7917;;;
150416;0000;19,875;;;
150417;0000;26,2083;;;
150418;0000;19,9583;;;
150419;0000;21,4583;;;
150420;0000;27,875;;;
150421;0000;32,625;;;
150422;0000;30,9167;;;
150423;0000;25,5;;;
150424;0000;29,9167;;;
150425;0000;40,6666;;;
150426;0000;71,9583;;;
150427;0000;63,2916;;;
150428;0000;50,125;;;
150429;0000;39,4583;;;
150430;0000;37,4583;;;
150501;0000;38,9166;;;
150502;0000;27,75;;;
150503;0000;24,3333;;;
150504;0000;23,9583;;;
150505;0000;32,8333;;;
150506;0000;30,0833;;;
150507;0000;34,2916;;;
150508;0000;34,7083;;;
150509;0000;43,125;;;
150510;0000;30,25;;;
150511;0000;35,375;;;
150512;0000;41,5238;;;
150513;0000;56,0833;;;
150514;0000;52,7916;;;
150515;0000;58,8333;;;
150516;0000;59,2083;;;
150517;0000;58,875;;;
150518;0000;45,125;;;
150519;0000;16,875;;;
150520;0000;47,3333;;;
150521;0000;59;;;
150522;0000;57,0833;;;
150523;0000;54,8333;;;
150524;0000;59,4583;;;
150525;0000;62,3333;;;
150526;0000;73,7083;;;
150527;0000;66,4166;;;
150528;0000;54,1666;;;
150529;0000;37,6666;;;
150530;0000;37,5833;;;
150531;0000;47,3333;;;
150601;0000;46,4166;;;
